url,pageType,claimArea,currentSources,recommendedSourceType,priority,humanReviewer
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,"Buddhist doctrine, terminology, or educational claim",https://www.dhammatalks.org/suttas/KN/Khp/khp5.html; https://www.dhammatalks.org/suttas/AN/AN4_28.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
