URL,page family,responsible entity,attribution type,displayed author,author type,profile URL,reviewer,reviewer basis,datePublished,dateModified,provenance certainty,schema status,owner input required?,validation
https://echobuddha.com/,HOME,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/404.html,SYSTEM,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/about/,TRUST_LEGAL,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/,ARTICLE_HUB,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-01,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-24,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-17,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-13,2026-07-13,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-25,2026-06-25,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-19,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-26,2026-08-24,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_HUB,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/category/meditation/,ARTICLE_HUB,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/category/mindfulness/,ARTICLE_HUB,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/category/practice/,ARTICLE_HUB,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/category/reflection/,ARTICLE_HUB,Echo Buddha,NO_BYLINE_EXPECTED,NONE_EXPECTED,NOT_APPLICABLE,NOT_APPLICABLE,NONE_CLAIMED,NOT_APPLICABLE,NOT_STORED_FOR_FAMILY,NOT_STORED_FOR_FAMILY,AUTOMATED_PROCESS_VERIFIED_OR_NOT_APPLICABLE,PASS_NO_AUTHOR_EXPECTED,NO,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-05-18,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-01,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-08-05,2026-08-24,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-03-03,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-08-05,2026-08-24,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-01,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-01,2026-08-24,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-08-05,2026-08-24,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-21,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/eightfold-path-explained/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-26,2026-06-26,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-13,2026-07-13,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-08-05,2026-08-06,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-13,2026-07-13,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-01,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-25,2026-06-25,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-26,2026-08-24,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-06-23,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-01,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,ARTICLE,Echo Buddha,ORGANIZATION_AUTHORED,Echo Buddha Editorial,Organization,/authors/echo-buddha-editorial/,NONE_CLAIMED,NOT_APPLICABLE,2026-07-01,2026-07-01,MIXED_WORKFLOW_VERIFIED; responsible entity verified; sentence-level legacy provenance not inferred,PASS,NO,PASS
