URL,File,Component / object,Trust issue,Source issue,Authorship issue,Attribution issue,Process issue,Safety issue,Visible text changed?,Schema changed?,Source metadata changed?,Author changed?,Publisher changed?,Date changed?,Index state changed?,Canonical changed?,URL changed?,Phase 5 content quality preserved?,Template differentiation preserved?,Ownership preserved?,Safety preserved?,Validation,Rollback
https://echobuddha.com/,src/components/SEO.astro,Global Organization JSON-LD,Stable publisher entity,None,Stable publisher entity,None,None,None,No,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/authors/echo-buddha-editorial/,src/pages/authors/echo-buddha-editorial.astro,Profile and Organization,Clarified organizational byline/accountability,None,Clarified organizational byline/accountability,None,None,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/about/,src/pages/about.astro,Publisher/authorship section,Clarified publisher and byline,None,Clarified publisher and byline,None,None,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/editorial-policy/,src/pages/editorial-policy.astro,Policy/source hierarchy/process,Strengthened truthful governance,None,None,None,Strengthened truthful governance,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/how-echo-buddha-creates-content/,src/pages/how-echo-buddha-creates-content.astro,Workflow/AI/accountability,Matched actual process,None,None,None,Matched actual process,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/buddhist-sources-and-citations/,src/pages/buddhist-sources-and-citations.astro,Source hierarchy/translation boundary,Strengthened claim-source rules,None,None,None,None,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/quote-attribution-policy/,src/pages/quote-attribution-policy.astro,Five attribution classes,Strengthened attribution governance,None,None,Strengthened attribution governance,Strengthened attribution governance,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/corrections/,src/pages/corrections.astro,Correction workflow,Made workflow concrete,None,None,None,Made workflow concrete,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/contact/,src/pages/contact.astro,Contact identity,Removed unverified team implication,None,None,None,None,None,Yes,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/articles/what-is-karma-in-buddhism/,src/data/editorialGovernance.ts,Source mapping,Changed Kalama Sutta to AN 6.63,Changed Kalama Sutta to AN 6.63,None,None,None,None,Yes,No,Yes,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
https://echobuddha.com/learn/buddhist-dictionary/karma/,src/data/learn.ts,Source mapping,Changed Kalama Sutta to AN 6.63,Changed Kalama Sutta to AN 6.63,None,None,None,None,Yes,No,Yes,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
Authored page families,src/pages/articles/[slug].astro; src/pages/learn/[section]/[slug].astro; src/pages/meditation/[slug].astro; src/pages/quotes/[category]/[story].astro; src/pages/daily-reflections/[slug].astro,Author/publisher JSON-LD,Stable organization IDs and URLs,None,Stable organization IDs and URLs,None,None,None,No,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
Policy/hub families,src/pages/privacy-policy.astro; src/pages/terms-of-use.astro; src/pages/disclaimer.astro; src/pages/meditation-safety.astro; src/pages/articles/index.astro,Publisher JSON-LD,Stable publisher entity,None,Stable publisher entity,None,None,None,No,Yes,No,No — model clarified/centralized,No — entity centralized,No,No,No,No,Yes,Yes,Yes,Yes,PASS,Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a
