path,url,family,indexable,in_sitemap,robots,canonical,title,description,h1,h1_count,schema_types,word_count,internal_links,external_links,inbound_internal_links,images,missing_alt_images,result
/,https://echobuddha.com/,Homepage,yes,yes,,https://echobuddha.com/,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,"Explore simple Buddhist teachings, daily reflections, quote meanings, beginner meditation guides, and mindfulness practices for a calmer everyday life.",Echo Buddha,1,WebSite|Organization|BreadcrumbList|FAQPage|ItemList,1206,100,0,704,8,1,pass
/404.html,https://echobuddha.com/404.html,Error,no,no,"noindex, follow",,Page Not Found | Echo Buddha,"The requested Echo Buddha page could not be found. Return to Buddhist articles, quotes, or meditation guidance.",Page Not Found,1,,162,26,0,0,1,1,pass
/about/,https://echobuddha.com/about/,Trust,yes,yes,,https://echobuddha.com/about/,About Echo Buddha | Echo Buddha,Learn about Echo Buddha,About Echo Buddha,1,AboutPage,465,27,0,313,1,1,pass
/articles/,https://echobuddha.com/articles/,Article hub,yes,yes,,https://echobuddha.com/articles/,Articles and Blog | Echo Buddha,"Browse Echo Buddha articles on mindfulness, meditation, compassion, patience, and Buddhist-inspired daily reflection.",Articles and Blog,1,Blog|ItemList|BreadcrumbList,1655,153,0,837,43,1,pass
/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Article,yes,yes,,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Daily Mindfulness Practice for Beginners | Echo Buddha,"Start a daily mindfulness practice with simple breath awareness, realistic timing, habit cues, and kind ways to begin again.",Beginning a Daily Mindfulness Practice,1,BlogPosting|Article|BreadcrumbList|FAQPage,1524,59,0,44,4,1,pass
/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Article,yes,yes,,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Buddhism for Beginners: A Simple Guide | Echo Buddha,"A beginner-friendly guide to Buddhism, the Four Noble Truths, meditation, ethics, and simple daily practice without overwhelm.",Buddhism for Beginners: A Simple Guide to the Path,1,BlogPosting|Article|BreadcrumbList|FAQPage,1816,67,2,20,4,1,pass
/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,Article,yes,yes,,https://echobuddha.com/articles/buddhist-approach-to-anger/,A Buddhist Approach to Anger | Echo Buddha,"Learn a Buddhist-inspired approach to anger using mindful pause, body awareness, compassion, boundaries, and wise response.","A Buddhist Approach to Anger: Pause, Understand, Respond",1,BlogPosting|Article|BreadcrumbList|FAQPage,1591,59,1,27,4,1,pass
/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,Article,yes,yes,,https://echobuddha.com/articles/buddhist-gratitude-practice/,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,"A reflective Buddhist gratitude practice shaped by contentment, generosity, relationship, and impermanence without denying difficulty.",Buddhist Gratitude Practice: Appreciating Life Without Clinging,1,BlogPosting|Article|BreadcrumbList|FAQPage,1796,57,2,74,4,1,pass
/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Article,yes,yes,,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,"Explore Buddhist-inspired teachings on forgiveness, letting go of resentment, and finding peace without excusing harmful actions.",Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,1,BlogPosting|Article|BreadcrumbList|FAQPage,1748,58,1,18,4,1,pass
/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Article,yes,yes,,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Buddhist Teachings on Impermanence | Echo Buddha,"Explore Buddhist teachings on impermanence, change, grief, gratitude, and daily ways to practice anicca with care.",Buddhist Teachings on Impermanence and Change,1,BlogPosting|Article|BreadcrumbList|FAQPage,1656,63,1,17,4,1,pass
