URL,route,family,intended_state,expected_http_status,actual_http_status,location,final_url,final_http_status,content_type,canonical,robots,title,h1,sitemap,inlinks,structured_data_types,visible_text_chars,real_ad_signals,empty_ad_placeholders,fetch_error,captured_at
https://echobuddha.com/,/,HOME,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/,200,text/html,https://echobuddha.com/,"index, follow",Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,YES,343,WebSite|SearchAction|Organization|ImageObject|BreadcrumbList|ListItem|FAQPage|Question|Answer|ItemList,5420,0,0,,2026-09-15T02:25:22.664Z
https://echobuddha.com/404,/404,ERROR,NOINDEX_USER_PAGE_200,200,200,,https://echobuddha.com/404,200,text/html,,"noindex, follow",Page Not Found | Echo Buddha,Page Not Found,NO,0,,1390,0,0,,2026-09-15T02:25:22.947Z
https://echobuddha.com/404.html,/404.html,ERROR_ALIAS,TEMPORARY_REDIRECT,307,307,/404,https://echobuddha.com/404,200,text/html,,"noindex, follow",Page Not Found | Echo Buddha,Page Not Found,NO,0,,1390,0,0,,2026-09-15T02:25:22.949Z
https://echobuddha.com/about/,/about/,TRUST,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/about/,200,text/html,https://echobuddha.com/about/,"index, follow",About Echo Buddha | Echo Buddha,About Echo Buddha,YES,343,AboutPage|Organization|ImageObject,4275,0,0,,2026-09-15T02:25:22.946Z
https://echobuddha.com/ads.txt,/ads.txt,TECHNICAL,TECHNICAL_ENDPOINT,200,200,,https://echobuddha.com/ads.txt,200,text/plain,,"index, follow",,,NO,1,,0,0,0,,2026-09-15T02:25:22.756Z
https://echobuddha.com/articles/,/articles/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/,200,text/html,https://echobuddha.com/articles/,"index, follow",Articles and Blog | Echo Buddha,Articles and Blog,YES,343,Blog|Organization|ImageObject|ItemList|ListItem|BreadcrumbList,12839,0,0,,2026-09-15T02:25:22.800Z
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,200,text/html,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,"index, follow",Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,YES,24,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,9529,0,0,,2026-09-15T02:25:22.957Z
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,/articles/buddhism-for-beginners-simple-guide/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,200,text/html,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,"index, follow",Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,YES,11,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,11601,0,0,,2026-09-15T02:25:22.792Z
https://echobuddha.com/articles/buddhist-approach-to-anger/,/articles/buddhist-approach-to-anger/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-approach-to-anger/,200,text/html,https://echobuddha.com/articles/buddhist-approach-to-anger/,"index, follow",A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",YES,19,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,11820,0,0,,2026-09-15T02:25:22.953Z
https://echobuddha.com/articles/buddhist-gratitude-practice/,/articles/buddhist-gratitude-practice/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-gratitude-practice/,200,text/html,https://echobuddha.com/articles/buddhist-gratitude-practice/,"index, follow",Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,YES,4,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,11767,0,0,,2026-09-15T02:25:22.954Z
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,/articles/buddhist-teachings-on-forgiveness/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,200,text/html,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,"index, follow",Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,YES,11,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,11693,0,0,,2026-09-15T02:25:22.951Z
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,/articles/buddhist-teachings-on-impermanence/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,200,text/html,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,"index, follow",Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,YES,8,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,10475,0,0,,2026-09-15T02:25:22.788Z
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,/articles/buddhist-wisdom-for-overthinking/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,200,text/html,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,"index, follow",Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,YES,45,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,13418,0,0,,2026-09-15T02:25:22.919Z
https://echobuddha.com/articles/category/buddhist-wisdom/,/articles/category/buddhist-wisdom/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/category/buddhist-wisdom/,200,text/html,https://echobuddha.com/articles/category/buddhist-wisdom/,"index, follow",Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,YES,96,CollectionPage|Blog|ItemList|ListItem|BreadcrumbList,6573,0,0,,2026-09-15T02:25:22.995Z
https://echobuddha.com/articles/category/meditation/,/articles/category/meditation/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/category/meditation/,200,text/html,https://echobuddha.com/articles/category/meditation/,"index, follow",Meditation Articles | Echo Buddha,Meditation Articles,YES,35,CollectionPage|Blog|ItemList|ListItem|BreadcrumbList,4019,0,0,,2026-09-15T02:25:23.019Z
https://echobuddha.com/articles/category/mindfulness/,/articles/category/mindfulness/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/category/mindfulness/,200,text/html,https://echobuddha.com/articles/category/mindfulness/,"index, follow",Mindfulness Articles | Echo Buddha,Mindfulness Articles,YES,54,CollectionPage|Blog|ItemList|ListItem|BreadcrumbList,3176,0,0,,2026-09-15T02:25:23.031Z
https://echobuddha.com/articles/category/practice/,/articles/category/practice/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/category/practice/,200,text/html,https://echobuddha.com/articles/category/practice/,"index, follow",Practice Articles | Echo Buddha,Practice Articles,YES,52,CollectionPage|Blog|ItemList|ListItem|BreadcrumbList,3597,0,0,,2026-09-15T02:25:23.032Z
https://echobuddha.com/articles/category/reflection/,/articles/category/reflection/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/category/reflection/,200,text/html,https://echobuddha.com/articles/category/reflection/,"index, follow",Reflection Articles | Echo Buddha,Reflection Articles,YES,57,CollectionPage|Blog|ItemList|ListItem|BreadcrumbList,3637,0,0,,2026-09-15T02:25:23.164Z
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,/articles/compassion-as-a-daily-discipline/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,200,text/html,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,"index, follow",Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Discipline,YES,19,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,10235,0,0,,2026-09-15T02:25:23.170Z
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,200,text/html,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,"index, follow",Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner&#39;s Guide,YES,7,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,10151,0,0,,2026-09-15T02:25:23.178Z
https://echobuddha.com/articles/compassion-with-boundaries/,/articles/compassion-with-boundaries/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/compassion-with-boundaries/,200,text/html,https://echobuddha.com/articles/compassion-with-boundaries/,"index, follow",Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries,YES,57,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,8443,0,0,,2026-09-15T02:25:23.199Z
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,/articles/creating-a-peaceful-corner-at-home/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,200,text/html,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,"index, follow",Create a Peaceful Meditation Corner | Echo Buddha,Creating a Peaceful Corner at Home,YES,2,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,9384,0,0,,2026-09-15T02:25:23.180Z
https://echobuddha.com/articles/dhamma-vs-dharma/,/articles/dhamma-vs-dharma/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/dhamma-vs-dharma/,200,text/html,https://echobuddha.com/articles/dhamma-vs-dharma/,"index, follow",Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,YES,55,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,9247,0,0,,2026-09-15T02:25:23.200Z
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,/articles/dhammapada-reflection-trained-mind/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,200,text/html,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,"index, follow",Dhammapada Reflection on a Trained Mind and Peace | Echo Buddha,Dhammapada Reflection: A Trained Mind Brings Peace,YES,4,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,10105,0,0,,2026-09-15T02:25:23.274Z
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,/articles/dhammapada-reflection-what-we-think/,ARTICLE,INDEXABLE_CANONICAL_200,200,200,,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,200,text/html,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,"index, follow","Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada Reflection: What We Think, We Become",YES,5,BlogPosting|Article|Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,12744,0,0,,2026-09-15T02:25:23.214Z
