Topic,Primary owner URL,Primary role,Primary audience,Primary intent,Why selected,Previous owner if different,Phase 1 evidence,Search evidence if available,Supporting URLs,Source-study URLs,Practice URLs,Utility/recurring URLs,Ownership confidence,Human review required
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,PRIMARY_PILLAR,NEWCOMER,BEGINNER_INFORMATIONAL,The strongest structured entry into basic Buddhist teaching and practice.,Unchanged,7 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/articles/first-week-buddhist-practice/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/ | https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/ | https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,,https://echobuddha.com/articles/first-week-buddhist-practice/ | https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/ | https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,,High,No
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.,Unchanged,6 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/four-noble-truths-explained-simply/ | https://echobuddha.com/articles/four-noble-truths-explained/ | https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/ | https://echobuddha.com/learn/buddhist-dictionary/dukkha/,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,,,High,No
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,"The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.",Unchanged,7 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/ | https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/ | https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,,High,No
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.,Unchanged,3 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/what-is-karma-in-buddhism/ | https://echobuddha.com/learn/buddhist-dictionary/karma/,,https://echobuddha.com/articles/what-is-karma-in-buddhism/,,High,No
Five Precepts,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,The lesson owns the ethical framework; practical articles show application without redefining it.,Unchanged,2 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/five-precepts-in-daily-life/,,https://echobuddha.com/articles/five-precepts-in-daily-life/,,High,No
Three Poisons,https://echobuddha.com/articles/three-poisons-buddhism-explained/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,"It is the only substantial broad explainer of greed, aversion, and delusion.",Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,Unchanged,5 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/impermanence-in-buddhism/ | https://echobuddha.com/learn/buddhist-dictionary/anicca/,,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,,High,No
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,PRIMARY_PILLAR,GENERAL_READER,PRACTICAL_HOW_TO,It most clearly distinguishes clinging from care and anchors the practical release cluster.,Unchanged,4 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/how-to-practice-non-attachment/ | https://echobuddha.com/articles/letting-go-without-giving-up/ | https://echobuddha.com/articles/non-attachment-in-relationships/,,https://echobuddha.com/articles/how-to-practice-non-attachment/ | https://echobuddha.com/articles/letting-go-without-giving-up/ | https://echobuddha.com/articles/non-attachment-in-relationships/,,High,No
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,"It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs.",https://echobuddha.com/learn/buddhist-dictionary/compassion/,5 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/compassion-as-a-daily-discipline/ | https://echobuddha.com/articles/compassion-with-boundaries/ | https://echobuddha.com/learn/buddhist-dictionary/compassion/ | https://echobuddha.com/learn/buddhist-dictionary/karuna/,,https://echobuddha.com/articles/compassion-as-a-daily-discipline/ | https://echobuddha.com/articles/compassion-with-boundaries/,,High,No
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,PRIMARY_PILLAR,BEGINNER,DEFINITIONAL,The term page should own metta meaning while meditation pages own practices and scripts.,https://echobuddha.com/meditation/loving-kindness-meditation/,6 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,https://echobuddha.com/articles/metta-meditation-script/ | https://echobuddha.com/meditation/loving-kindness-meditation/,,High,"Yes — scope/source/identity, not owner selection"
Equanimity,https://echobuddha.com/articles/equanimity-in-buddhism/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,It is the dedicated explanation of balanced care without numbness.,Not previously explicit,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,PRIMARY_PILLAR,GENERAL_READER,PRACTICAL_HOW_TO,"It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario.",Unchanged,5 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/mindful-email-and-texting/ | https://echobuddha.com/articles/mindful-listening-in-everyday-life/ | https://echobuddha.com/articles/right-speech-examples/,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,https://echobuddha.com/articles/mindful-email-and-texting/ | https://echobuddha.com/articles/mindful-listening-in-everyday-life/,,High,No
Patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,PRIMARY_PILLAR,GENERAL_READER,PRACTICAL_HOW_TO,It is the broad practical owner; source study and recurring reflections remain narrow.,Unchanged,2 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,,,High,No
Anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,PRIMARY_PILLAR,SITUATION_SPECIFIC,SCENARIO_APPLICATION,It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,PRIMARY_PILLAR,SITUATION_SPECIFIC,SCENARIO_APPLICATION,It uniquely distinguishes release from approval and protects boundaries.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
