route,family,subtype,h1,robots,inSitemap,inSearchIndex,schemaTypes,wordCount,sourceTier,finalStatus
/,Homepage and high-level entry,homepage,Echo Buddha,"index, follow (implicit)",true,true,WebSite | Organization | BreadcrumbList | FAQPage | ItemList,1070,TIER 3 - source-aware editorial review,baseline captured
/404.html,Supporting and technical public pages,404,Page Not Found,"noindex, follow",false,false,WebSite | Organization,30,TIER 3 - source-aware editorial review,review: missing canonical; noindex
/about/,Trust and institutional content,about,About Echo Buddha,"index, follow (implicit)",true,true,WebSite | Organization | AboutPage,283,TIER 3 - source-aware editorial review,baseline captured
/authors/echo-buddha-editorial/,Trust and institutional content,authors/echo-buddha-editorial,Echo Buddha Editorial,"index, follow (implicit)",true,true,WebSite | Organization | ProfilePage,321,TIER 3 - source-aware editorial review,baseline captured
/contact/,Trust and institutional content,contact,Contact Echo Buddha,"index, follow (implicit)",true,true,WebSite | Organization | ContactPage,125,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/,Daily reflections,reflection-hub,Daily Buddhist Reflections for Mindful Living,"index, follow (implicit)",true,true,WebSite | Organization | CollectionPage | BreadcrumbList | FAQPage,1954,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/anger-as-a-signal/,Daily reflections,reflection-detail,Anger Can Become a Signal,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,258,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/begin-again-without-shame/,Daily reflections,reflection-detail,Begin Again Without Shame,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,252,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/compassion-begins-nearby/,Daily reflections,reflection-detail,Compassion Begins Nearby,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,251,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/enough-for-this-moment/,Daily reflections,reflection-detail,Enough for This Moment,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,248,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/evening-release/,Daily reflections,reflection-detail,End the Day by Releasing,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,255,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/family-patience/,Daily reflections,reflection-detail,Patience at Home,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,243,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/forgiveness-without-approval/,Daily reflections,reflection-detail,Forgiveness Is Not Approval,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,244,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/gratitude-for-change/,Daily reflections,reflection-detail,Gratitude for Change,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,234,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/gratitude-notices-enough/,Daily reflections,reflection-detail,Gratitude Notices Enough,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,238,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/impermanence-softens-clinging/,Daily reflections,reflection-detail,Impermanence Softens Clinging,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,254,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/kindness-with-boundaries/,Daily reflections,reflection-detail,Kindness Can Have Boundaries,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,245,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/let-the-feeling-pass/,Daily reflections,reflection-detail,Let the Feeling Pass Through,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,272,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/letting-go-keeps-care/,Daily reflections,reflection-detail,Letting Go Keeps the Care,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,246,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/listen-before-answering/,Daily reflections,reflection-detail,Listen Before Answering,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,244,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/metta-for-a-difficult-person/,Daily reflections,reflection-detail,Metta Without Pretending,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,251,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/mindful-work/,Daily reflections,reflection-detail,Work Can Carry Practice,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,247,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/morning-intention/,Daily reflections,reflection-detail,Begin With Intention,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,240,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/notice-before-fixing/,Daily reflections,reflection-detail,Notice Before Fixing,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,245,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/one-honest-breath/,Daily reflections,reflection-detail,Return Through One Honest Breath,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,263,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/one-step-on-the-path/,Daily reflections,reflection-detail,The Path Is One Step,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,259,TIER 3 - source-aware editorial review,baseline captured
/daily-reflections/patience-before-anger-speaks/,Daily reflections,reflection-detail,Patience Begins Before Anger Speaks,"index, follow (implicit)",true,true,WebSite | Organization | Article | BreadcrumbList,285,TIER 3 - source-aware editorial review,baseline captured
