filename,sha256,content_sha256,report_type,filters,start_date,end_date,sheet_names,sheet_data_rows,primary_data_rows,duplicate_or_scope_relation,phase_3_use,limitations
echobuddha.com-Performance-on-Search-2026-08-24.xlsx,0b3e8d9c55f9b7e1afa165be2f0959011f7f39898114e86e53094c75af0fcd2c,ef5052a0a3ee9e26f012311e64c4dd1600454a43043bde4a218e17762efc85ae,STANDARD_WEB_PERFORMANCE,"{""Search type"":""Web"",""Date"":""Last 3 months""}",2026-06-23,2026-08-21,Chart | Queries | Pages | Countries | Devices | Search appearance | Filters,Chart:60 | Queries:341 | Pages:183 | Countries:96 | Devices:3 | Search appearance:0 | Filters:2,341,UNIQUE_OR_SCOPED_EXPORT,Refresh 3-month Web performance and property-level final 28-day trend,Separate query/page tables; no query×page join or page-level 28-day comparison
echobuddha.com-Performance-on-Search-Generative-AI-Features-2026-08-24.xlsx,9569b77c8e022c5d9d899e04f000c1e40c2a93eac65ffecf64994d67975d0f9c,ce3380be7111a157e8f8ca06c1514f315b29dd0f4ceb2c79bcdf3399ecaf989a,GENERATIVE_AI_SEARCH_APPEARANCE,"{""Search type"":""Web"",""Date"":""Last 3 months""}",2026-06-23,2026-08-21,Chart | Pages | Countries | Devices | Filters,Chart:60 | Pages:34 | Countries:34 | Devices:3 | Filters:2,34,UNIQUE_OR_SCOPED_EXPORT,Supplemental Generative AI Search appearance protection,Kept separate from standard Web totals; page sums may differ from chart aggregation
echobuddha.com-Coverage-Drilldown-2026-08-24.xlsx,dbdf714382d6137339d5898b73fa40a4328b561700ffe3a862de944157435ffd,e96404aadca8fafd37f4e7d7270c5c1c5d912cba6f9f445d49f0ab611b3f17e7,PAGE_INDEXING_EXCEPTION: Excluded by ‘noindex’ tag,"{""Sitemap"":""All known pages"",""Issue"":""Excluded by ‘noindex’ tag""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:46 | Metadata:2,46,UNIQUE_OR_SCOPED_EXPORT,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (1).xlsx,e3f7f8cc29f33f83fe9d651efce87f5e5a054fa725d458e3251d931bb6d767c9,2dd89803669debfc95e907b866592b7bef918ae56048942a71d69c84ae3d26ee,PAGE_INDEXING_EXCEPTION: Not found (404),"{""Sitemap"":""All known pages"",""Issue"":""Not found (404)""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:1 | Metadata:2,1,UNIQUE_OR_SCOPED_EXPORT,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (2).xlsx,f3bc52ae17786d503eef5acce01afe23af5b99ffe0e7d83b5395c9579866e0b9,77dfeaa78295a6f7dadf3acc7477ba485632dee0946ea6f300a4036b021bb4b9,PAGE_INDEXING_EXCEPTION: Alternate page with proper canonical tag,"{""Sitemap"":""All known pages"",""Issue"":""Alternate page with proper canonical tag""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:1 | Metadata:2,1,UNIQUE_OR_SCOPED_EXPORT,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (3).xlsx,4748bc8195eff8139fbff68b86040df4ea2c22649c6238965c2b7e769a90250f,b3a42b63381fdfeaae7af5fbf29f3ffa654d93bbb41015a40b63a3289210b086,PAGE_INDEXING_EXCEPTION: Crawled - currently not indexed,"{""Sitemap"":""All known pages"",""Issue"":""Crawled - currently not indexed""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:3 | Metadata:2,3,UNIQUE_OR_SCOPED_EXPORT,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (4).xlsx,fa4021d83d22ce78622e746899ad585337b0d6a2160a7b9a627c8e9452917bbc,5eed77fbf066b7619bb44cadaa397bc80a0823e51a6228670611c1ec94d278e7,PAGE_INDEXING_EXCEPTION: Page with redirect,"{""Sitemap"":""All known pages"",""Issue"":""Page with redirect""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:9 | Metadata:2,9,UNIQUE_OR_SCOPED_EXPORT,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (5).xlsx,c36f863fb87b5da1afa93026f895dfb8ea4b7895bc98a46212f7bad661477172,58ffceb3253be3f7bd5e1225a814cccb9ebc42c5637e1c09f9dce4d43a4f2f39,PAGE_INDEXING_EXCEPTION: Discovered - currently not indexed,"{""Sitemap"":""All known pages"",""Issue"":""Discovered - currently not indexed""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:5 | Metadata:2,5,UNIQUE_OR_SCOPED_EXPORT,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (6).xlsx,a5dac0022afe83853d95d197bde8cd4ece6e855f1ebe7590a397ed959eba1953,58ffceb3253be3f7bd5e1225a814cccb9ebc42c5637e1c09f9dce4d43a4f2f39,PAGE_INDEXING_EXCEPTION: Discovered - currently not indexed,"{""Sitemap"":""All known pages"",""Issue"":""Discovered - currently not indexed""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:5 | Metadata:2,5,CONTENT_DUPLICATE_OF:echobuddha.com-Coverage-Drilldown-2026-08-24 (5).xlsx,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
echobuddha.com-Coverage-Drilldown-2026-08-24 (7).xlsx,21a8c88308a0cab903f2cb22d87b24956111cf43be7fbd6b929302b9e0f95fe3,94ec1d1c9d390532f8c0c6968d5785af927dbdd61eec175ccf6a3422dfa6d011,PAGE_INDEXING_EXCEPTION: Crawled - currently not indexed,"{""Sitemap"":""All known pages"",""Issue"":""Crawled - currently not indexed""}",2026-06-30,2026-08-21,Chart | Table | Metadata,Chart:53 | Table:1 | Metadata:2,1,NARROWER_OVERLAP_OF:echobuddha.com-Coverage-Drilldown-2026-08-24 (3).xlsx,Join current Page Indexing exception examples to inventory,Example/report state can lag current live production; Last crawled 25569 is unreliable
