slug,url,phase_status,category,publication_date,reviewed_date,materially_changed_in_phase_3,primary_cluster,final_role,source_support,wellbeing_review,final_recommendation,score,risk
what-is-buddhism-beginner-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Phase 3 re-reviewed,Buddhist Wisdom,2026-07-01,2026-07-01,yes,Beginner Buddhism,"Define Buddhism as a path of understanding suffering, conduct, meditation, and wisdom without collapsing traditions into one slogan",SN 56.11; AN 3.66,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
four-noble-truths-explained-simply,https://echobuddha.com/articles/four-noble-truths-explained-simply/,Phase 3 re-reviewed,Buddhist Wisdom,2026-07-01,2026-07-01,yes,Four Noble Truths,Explain the four truths through one everyday human example with minimal terminology,SN 56.11,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
noble-eightfold-path-practical-guide,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Phase 3 re-reviewed,Buddhist Wisdom,2026-07-01,2026-07-01,yes,Noble Eightfold Path,"Turn the path into a repeatable review of view, intention, speech, action, livelihood, effort, mindfulness, and concentration",SN 45.8,No article-specific wellbeing boundary required based on current page promise.,Targeted rewrite,81,Medium
impermanence-in-buddhism-letting-go,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Phase 2 re-verified,Buddhist Wisdom,2026-07-01,2026-07-01,no,Impermanence,Connect impermanence specifically to softening control and demand,AN 5.57,Add article-specific boundary language in the later implementation pass; do not use identical boilerplate.,Targeted rewrite,79,Medium
compassion-in-buddhism-beginner-guide,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Phase 3 re-reviewed,Buddhist Wisdom,2026-07-01,2026-07-01,no,Compassion and Forgiveness,Define compassion in Buddhist terms without reducing it to niceness,Sn 1.8,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
how-to-meditate-for-beginners,https://echobuddha.com/articles/how-to-meditate-for-beginners/,Phase 2 re-verified,Meditation,2026-07-01,2026-07-01,no,Beginner Meditation and Mindfulness,Give meditation a distinct reader outcome tied to this URL.,MN 118,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
mindfulness-of-breathing-guide,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Phase 2 re-verified,Meditation,2026-07-01,2026-07-01,no,Beginner Meditation and Mindfulness,Teach breath practice as a specific anchor method rather than generic meditation advice,MN 118,No article-specific wellbeing boundary required based on current page promise.,Light polish,82,Medium
loving-kindness-meditation-guide,https://echobuddha.com/articles/loving-kindness-meditation-guide/,Phase 3 re-reviewed,Meditation,2026-07-01,2026-07-01,yes,Loving-kindness and Metta,Explain the structure and purpose of metta practice before scripting it,Sn 1.8,No article-specific wellbeing boundary required based on current page promise.,Targeted rewrite,81,Medium
dhammapada-reflection-what-we-think,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Phase 3 re-reviewed,Reflection,2026-07-01,2026-07-01,no,Dhammapada Reflections,"Reflect on thought, intention, and consequence without claiming a direct translation",Dhp 1,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
dhammapada-reflection-trained-mind,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Phase 3 re-reviewed,Reflection,2026-07-01,2026-07-01,no,Dhammapada Reflections,Reflect on training the mind toward peace without duplicating the thought/intention reflection,Dhp 1,No article-specific wellbeing boundary required based on current page promise.,Light polish,83,Medium
