URL,Claim / claim group,Claim type,Current wording summary,Source required?,Source,Source authority,Directly supported?,Paraphrase?,Editorial interpretation?,Tradition-specific?,Translation risk?,Historical risk?,Cultural-generalization risk?,Wellbeing risk?,Final action,Human review?
https://echobuddha.com/learn/buddhism-for-beginners/,Practice map; tradition diversity; source-versus-interpretation boundary,Doctrine/application,Practice map; tradition diversity; source-versus-interpretation boundary,"Yes for canonical, linguistic, historical, or wellbeing claims",SN 56.11; SN 45.8,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Low,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/learn/four-noble-truths/,Four truth/task model; worked criticism case; focused practice,Doctrine/application,Four truth/task model; worked criticism case; focused practice,"Yes for canonical, linguistic, historical, or wellbeing claims",SN 56.11,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Acknowledged,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/learn/eightfold-path/,Threefold training; integrated factors; difficult-reply case,Doctrine/application,Threefold training; integrated factors; difficult-reply case,"Yes for canonical, linguistic, historical, or wellbeing claims",SN 45.8,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Acknowledged,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Living-tradition scope; teaching/practice/community map; tradition limits,Doctrine/application,Living-tradition scope; teaching/practice/community map; tradition limits,"Yes for canonical, linguistic, historical, or wellbeing claims",SN 56.11; SN 45.8,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Low,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Intentional action; mixed motives; responsibility without shame,Doctrine/application,Intentional action; mixed motives; responsibility without shame,"Yes for canonical, linguistic, historical, or wellbeing claims",AN 6.63,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Acknowledged,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Conditioned change at multiple scales; grief-safe application,Doctrine/application,Conditioned change at multiple scales; grief-safe application,"Yes for canonical, linguistic, historical, or wellbeing claims",Dhammapada 273–289,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Acknowledged,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/learn/buddhist-dictionary/metta/,Pali meaning; related brahmavihāra terms; definition/practice boundary,Doctrine/application,Pali meaning; related brahmavihāra terms; definition/practice boundary,"Yes for canonical, linguistic, historical, or wellbeing claims",Snp 1.8,Canonical Buddhist text,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Acknowledged,Low,Low — diversity/universal-tradition cautions retained,Low,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/meditation/breathing-meditation/,Anchor selection; five-minute sequence; troubleshooting; alternate anchors,Practice + safety,Anchor selection; five-minute sequence; troubleshooting; alternate anchors,"Yes for canonical, linguistic, historical, or wellbeing claims",MN 118; NCCIH,Canonical text plus institutional health source where safety applies,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Low,Low,Low — diversity/universal-tradition cautions retained,Proportionally mitigated with adapt/stop/support boundaries,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/meditation/loving-kindness-meditation/,Recipient sequence; honest phrases; boundary and distress adaptations,Practice + safety,Recipient sequence; honest phrases; boundary and distress adaptations,"Yes for canonical, linguistic, historical, or wellbeing claims",Snp 1.8; NCCIH,Canonical text plus institutional health source where safety applies,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Low,Low,Low — diversity/universal-tradition cautions retained,Proportionally mitigated with adapt/stop/support boundaries,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
https://echobuddha.com/meditation/walking-meditation/,Safe path; foot anchor; turning; mobility adaptations,Practice + safety,Safe path; foot anchor; turning; mobility adaptations,"Yes for canonical, linguistic, historical, or wellbeing claims",AN 5.29; MN 10,Canonical text plus institutional health source where safety applies,Yes for the named traditional claim groups,Yes,Yes — explicitly labeled,Limits stated where relevant,Low,Low,Low — diversity/universal-tradition cautions retained,Proportionally mitigated with adapt/stop/support boundaries,KEEP — source and editorial boundaries strengthened,No blocking review; future expert review welcome
