URL,Topic cluster,Role,Primary owner,Is primary owner?,Unique information gain,Does not own,Cannibalization risk,Future action,Human review,Evidence
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 666 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 65.8%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 680 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 86.0%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 706 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 85.2%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 640 words; 17 content headings; individually authored story; nearest /quotes/awareness/one-breath-before-anger-replies/ combined overlap 68.2%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/,Quotes,CATEGORY,https://echobuddha.com/quotes/,No,"Orientation, selection, and meaningful navigation across the Quotes cluster.",This page does not own the broad Quotes explanation; that belongs to /quotes/.,MEDIUM,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 456 words; 7 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 49.1%; external source links 0; role review: CATEGORY; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 86.5%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 700 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 87.5%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 670 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 68.2%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 657 words; 17 content headings; generated story; nearest /quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/ combined overlap 86.5%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Quotes,QUOTE_REFLECTION,https://echobuddha.com/quotes/,No,Original quote/reflection format and page-specific narrative; generated stories require Phase 3 index review.,This page does not own the broad Quotes explanation; that belongs to /quotes/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 710 words; 17 content headings; generated story; nearest /quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ combined overlap 87.5%; external source links 0; role review: QUOTE_REFLECTION; owner selection: The hub owns discovery of clearly labeled original Echo Buddha quote reflections.
