URL,normalized_current_url,impressions,date_range,page_family,existing_protection_tier,phase_2_score,standard_web_clicks,standard_web_impressions,protection_effect,evidence_class
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,33,2026-06-23..2026-08-21,BUDDHISM_101,SEO_P2_EMERGING,74,0,55,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/right-speech-buddhism/,https://echobuddha.com/articles/right-speech-buddhism/,32,2026-06-23..2026-08-21,ARTICLE,SEO_P0_CRITICAL,78,3,392,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,18,2026-06-23..2026-08-21,ARTICLE,SEO_P1_HIGH,63,1,281,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/,https://echobuddha.com/,11,2026-06-23..2026-08-21,HOME,SEO_P0_CRITICAL,79,0,5,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/patience/,https://echobuddha.com/quotes/patience/,10,2026-06-23..2026-08-21,QUOTE_CATEGORY,SEO_P1_HIGH,52,1,182,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/letting-go/,https://echobuddha.com/quotes/letting-go/,7,2026-06-23..2026-08-21,QUOTE_CATEGORY,SEO_P0_CRITICAL,52,3,189,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,5,2026-06-23..2026-08-21,ARTICLE,SEO_P2_EMERGING,72,0,54,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,4,2026-06-23..2026-08-21,LEARN_GUIDE,SEO_P1_HIGH,89,0,24,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,2,2026-06-23..2026-08-21,ARTICLE,SEO_P2_EMERGING,65,0,56,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,2,2026-06-23..2026-08-21,ARTICLE,SEO_P1_HIGH,72,1,118,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,2,2026-06-23..2026-08-21,LEARN_GUIDE,SEO_P2_EMERGING,84,0,48,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/mindfulness/listen-before-answering/,https://echobuddha.com/quotes/mindfulness/listen-before-answering/,2,2026-06-23..2026-08-21,QUOTE_STORY,SEO_P3_LIMITED,43,0,6,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
http://echobuddha.com/,https://echobuddha.com/,1,2026-06-23..2026-08-21,HOME,SEO_P0_CRITICAL,79,0,5,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,1,2026-06-23..2026-08-21,ARTICLE_CATEGORY,SEO_P2_EMERGING,50,0,6,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P1_HIGH,73,0,107,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P1_HIGH,71,0,13,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P2_EMERGING,64,0,8,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/mindful-email-and-texting/,https://echobuddha.com/articles/mindful-email-and-texting/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P2_EMERGING,68,0,5,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/right-speech-examples/,https://echobuddha.com/articles/right-speech-examples/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P3_LIMITED,60,0,3,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/three-ways-to-practice-patience/,https://echobuddha.com/articles/three-ways-to-practice-patience/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P2_EMERGING,65,0,10,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,1,2026-06-23..2026-08-21,ARTICLE,SEO_P2_EMERGING,61,0,12,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/,1,2026-06-23..2026-08-21,DAILY_REFLECTION_HUB,SEO_P1_HIGH,73,1,4,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,https://echobuddha.com/daily-reflections/thoughts-are-visitors/,1,2026-06-23..2026-08-21,REFLECTION,SEO_P2_EMERGING,NOT_APPLICABLE,0,5,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,1,2026-06-23..2026-08-21,REFLECTION,SEO_P2_EMERGING,NOT_APPLICABLE,0,10,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/learn/buddhist-dictionary/sutta/,https://echobuddha.com/learn/buddhist-dictionary/sutta/,1,2026-06-23..2026-08-21,DICTIONARY_ENTRY,SEO_P2_EMERGING,74,0,30,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,1,2026-06-23..2026-08-21,LEARN_GUIDE,SEO_P2_EMERGING,88,0,9,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,1,2026-06-23..2026-08-21,LEARN_GUIDE,SEO_P1_HIGH,91,1,5,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/,1,2026-06-23..2026-08-21,QUOTE_CATEGORY,SEO_P1_HIGH,51,0,20,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,1,2026-06-23..2026-08-21,QUOTE_STORY,SEO_P2_EMERGING,NOT_APPLICABLE,0,9,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/meditation/,https://echobuddha.com/quotes/meditation/,1,2026-06-23..2026-08-21,QUOTE_CATEGORY,SEO_P1_HIGH,50,0,14,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/mindfulness/,https://echobuddha.com/quotes/mindfulness/,1,2026-06-23..2026-08-21,QUOTE_CATEGORY,SEO_P1_HIGH,52,1,20,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,1,2026-06-23..2026-08-21,QUOTE_STORY,SEO_P2_EMERGING,NOT_APPLICABLE,0,10,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/quotes/practice/,https://echobuddha.com/quotes/practice/,1,2026-06-23..2026-08-21,QUOTE_CATEGORY,SEO_P1_HIGH,50,0,12,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
https://echobuddha.com/tools/,https://echobuddha.com/tools/,1,2026-06-23..2026-08-21,TOOL,SEO_P2_EMERGING,76,0,13,SUPPLEMENTAL_EVIDENCE_ONLY; RETAIN_CURRENT_OR_STRONGER_PROTECTION,SUPPLEMENTAL_SEARCH_APPEARANCE_EVIDENCE
