URL,before indexability,after branch indexability,before sitemap,after sitemap,before canonical,after canonical,decision,protection tier,reason
https://echobuddha.com/quotes/,true,true,true,true,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,Protected editorial discovery hub
https://echobuddha.com/quotes/awareness/,true,true,true,true,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,Recognize mind/body patterns before reaction
https://echobuddha.com/quotes/compassion/,true,true,true,true,https://echobuddha.com/quotes/compassion/,https://echobuddha.com/quotes/compassion/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,Care that reduces harm while preserving truthful boundaries
https://echobuddha.com/quotes/impermanence/,true,true,true,true,https://echobuddha.com/quotes/impermanence/,https://echobuddha.com/quotes/impermanence/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P2_EMERGING,Meet observable change with gratitude and release
https://echobuddha.com/quotes/letting-go/,true,true,true,true,https://echobuddha.com/quotes/letting-go/,https://echobuddha.com/quotes/letting-go/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P0_CRITICAL,Separate care and wise effort from clinging and control
https://echobuddha.com/quotes/meditation/,true,true,true,true,https://echobuddha.com/quotes/meditation/,https://echobuddha.com/quotes/meditation/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,"Support sitting, returning, posture, and distraction"
https://echobuddha.com/quotes/mindfulness/,true,true,true,true,https://echobuddha.com/quotes/mindfulness/,https://echobuddha.com/quotes/mindfulness/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,Direct attention to present experience and ordinary tasks
https://echobuddha.com/quotes/patience/,true,true,true,true,https://echobuddha.com/quotes/patience/,https://echobuddha.com/quotes/patience/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,Create space before reactive speech and pressure
https://echobuddha.com/quotes/practice/,true,true,true,true,https://echobuddha.com/quotes/practice/,https://echobuddha.com/quotes/practice/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P1_HIGH,Turn teachings into repeatable daily choices
https://echobuddha.com/quotes/renewal/,true,true,true,true,https://echobuddha.com/quotes/renewal/,https://echobuddha.com/quotes/renewal/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P2_EMERGING,"Repair, begin again, and move without shame denial"
https://echobuddha.com/quotes/wisdom/,true,true,true,true,https://echobuddha.com/quotes/wisdom/,https://echobuddha.com/quotes/wisdom/,RETAIN_INDEXABLE_CURATED_RESOURCE,SEO_P2_EMERGING,"See causes, consequences, suffering, and skillful response"
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,true,false,true,false,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,NOINDEX_USER_PERMALINK,SEO_P3_LIMITED,"Authored reflection retained for users, but Phase 2 found weak independent purpose and dominant template dependence."
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,false,false,false,false,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,NOINDEX_USER_PERMALINK,SEO_P3_LIMITED,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,false,false,false,false,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,NOINDEX_USER_PERMALINK,SEO_P3_LIMITED,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,false,false,false,false,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,NOINDEX_USER_PERMALINK,SEO_P3_LIMITED,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.
