cluster_id,url_a,url_b,page_family_a,page_family_b,topic_cluster,title_token_overlap,heading_overlap,primary_intent_a,primary_intent_b,review_flag
TI-0001,https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/learn/four-noble-truths/,ARTICLE,LEARN_GUIDE,Four Noble Truths,0.8889,0.0811,beginner explanation,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0002,https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,ARTICLE,BUDDHISM_101,Four Noble Truths,0.875,0.0811,beginner explanation,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0003,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,https://echobuddha.com/learn/buddhist-dictionary/sati/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Mindfulness,0.8571,0.8462,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0004,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,ARTICLE,ARTICLE,Compassion,0.8571,0.3902,practical guide,script,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0005,https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/meditation-guide/,ARTICLE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.8571,0.02,script,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0006,https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation/meditation-posture-for-beginners/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.8333,0.3889,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0007,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/meditation/meditation-for-beginners/,ARTICLE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.8333,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0008,https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/meditation-guide/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.8333,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0009,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,https://echobuddha.com/learn/eightfold-path/,ARTICLE,LEARN_GUIDE,Noble Eightfold Path,0.8,0.0789,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0010,https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,ARTICLE,BUDDHISM_101,Noble Eightfold Path,0.7778,0.0789,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0011,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,BUDDHISM_101,BUDDHISM_101,Beginner Buddhism ↔ Karma,0.75,0.4,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0012,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/learn/eightfold-path/,ARTICLE,LEARN_GUIDE,Noble Eightfold Path,0.75,0.1053,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0013,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,ARTICLE,BUDDHISM_101,Compassion ↔ Page-specific / unclustered,0.7143,0.0811,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0014,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/meditation-guide/,ARTICLE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.7143,0.0196,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0015,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/meditation/meditation-posture-for-beginners/,ARTICLE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.7143,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0016,https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/meditation/meditation-for-beginners/,ARTICLE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.7143,0,script,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0017,https://echobuddha.com/meditation/meditation-for-beginners/,https://echobuddha.com/quotes/meditation/meditation-is-returning/,MEDITATION_GUIDE,QUOTE_STORY,Meditation,0.7143,0,practical guide,quote/reflection,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0018,https://echobuddha.com/meditation/meditation-posture-for-beginners/,https://echobuddha.com/meditation-guide/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.7143,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0019,https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,ARTICLE,ARTICLE,Four Noble Truths,0.7,0.3846,beginner explanation,beginner explanation,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0020,https://echobuddha.com/learn/buddhist-dictionary/anicca/,https://echobuddha.com/learn/buddhist-dictionary/nirvana/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Impermanence ↔ Buddhist Concepts,0.6667,0.8462,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0021,https://echobuddha.com/meditation/10-minute-meditation-practice/,https://echobuddha.com/meditation/5-minute-meditation-practice/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.6667,0.4375,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0022,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,ARTICLE,LEARN_GUIDE,Beginner Buddhism,0.6667,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0023,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/meditation/loving-kindness-meditation/,ARTICLE,MEDITATION_GUIDE,Compassion,0.6667,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0024,https://echobuddha.com/articles/walking-meditation-step-by-step/,https://echobuddha.com/meditation/walking-meditation/,ARTICLE,MEDITATION_GUIDE,Meditation,0.6667,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0025,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,https://echobuddha.com/learn/four-noble-truths/,BUDDHISM_101,LEARN_GUIDE,Four Noble Truths,0.6667,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0026,https://echobuddha.com/learn/sutta-for-daily-life/,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,LEARN_GUIDE,LEARN_GUIDE,Sutta Study ↔ Loving-kindness / Metta,0.6667,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0027,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-with-boundaries/,ARTICLE,ARTICLE,Compassion,0.625,0.4118,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0028,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/quotes/meditation/meditation-is-returning/,ARTICLE,QUOTE_STORY,Compassion ↔ Meditation,0.625,0.0222,practical guide,quote/reflection,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0029,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/meditation-guide/,ARTICLE,MEDITATION_GUIDE,Beginner Buddhism ↔ Meditation,0.625,0.02,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0030,https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/meditation/meditation-posture-for-beginners/,ARTICLE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.625,0,script,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0031,https://echobuddha.com/meditation/meditation-posture-for-beginners/,https://echobuddha.com/quotes/meditation/meditation-is-returning/,MEDITATION_GUIDE,QUOTE_STORY,Meditation,0.625,0,practical guide,quote/reflection,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0032,https://echobuddha.com/meditation-guide/,https://echobuddha.com/quotes/meditation/meditation-is-returning/,MEDITATION_GUIDE,QUOTE_STORY,Meditation,0.625,0,practical guide,quote/reflection,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0033,https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/meditation/loving-kindness-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation ↔ Compassion,0.6,0.5,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0034,https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/meditation/walking-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Meditation,0.6,0.5,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0035,https://echobuddha.com/meditation/loving-kindness-meditation/,https://echobuddha.com/meditation/walking-meditation/,MEDITATION_GUIDE,MEDITATION_GUIDE,Compassion ↔ Meditation,0.6,0.5,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0036,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,BUDDHISM_101,BUDDHISM_101,Impermanence ↔ Mindfulness,0.6,0.4444,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0037,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,ARTICLE,ARTICLE,Noble Eightfold Path,0.6,0.3415,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0038,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,ARTICLE,ARTICLE,Beginner Buddhism ↔ Meditation,0.6,0.3023,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0039,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,BUDDHISM_101,BUDDHISM_101,Buddhist Concepts,0.6,0.2273,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0040,https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,ARTICLE,BUDDHISM_101,Four Noble Truths,0.6,0.1176,beginner explanation,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0041,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,BUDDHISM_101,LEARN_GUIDE,Four Noble Truths,0.6,0.0952,practical guide,source study,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0042,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,BUDDHISM_101,LEARN_GUIDE,Noble Eightfold Path,0.6,0.0952,practical guide,beginner explanation,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0043,https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/learn/four-noble-truths/,ARTICLE,LEARN_GUIDE,Four Noble Truths,0.6,0.05,beginner explanation,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0044,https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,ARTICLE,DICTIONARY_ENTRY,Dhamma / Dharma,0.6,0,comparison,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0045,https://echobuddha.com/learn/buddhist-dictionary/karuna/,https://echobuddha.com/learn/buddhist-dictionary/sutta/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Compassion ↔ Sutta Study,0.5714,0.5,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0046,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/learn/buddhist-dictionary/sutta/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Compassion ↔ Sutta Study,0.5714,0.2778,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0047,https://echobuddha.com/articles/how-to-practice-non-attachment/,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,ARTICLE,BUDDHISM_101,Attachment and Letting Go ↔ Beginner Buddhism,0.5714,0.0833,comparison,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0048,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/meditation/mindfulness-in-daily-life/,ARTICLE,MEDITATION_GUIDE,Noble Eightfold Path ↔ Mindfulness,0.5714,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0049,https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/meditation/loving-kindness-meditation/,ARTICLE,MEDITATION_GUIDE,Compassion,0.5714,0,script,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0050,https://echobuddha.com/learn/sutta-for-daily-life/,https://echobuddha.com/meditation/mindfulness-in-daily-life/,LEARN_GUIDE,MEDITATION_GUIDE,Sutta Study ↔ Mindfulness,0.5714,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0051,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,https://echobuddha.com/meditation/mindfulness-in-daily-life/,LEARN_GUIDE,MEDITATION_GUIDE,Right Speech ↔ Mindfulness,0.5714,0,source study,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0052,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,BUDDHISM_101,BUDDHISM_101,Four Noble Truths ↔ Noble Eightfold Path,0.5556,0.6,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0053,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/articles/metta-meditation-script/,ARTICLE,ARTICLE,Compassion,0.5556,0.4048,practical guide,script,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0054,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,ARTICLE,ARTICLE,Attachment and Letting Go ↔ Impermanence,0.5556,0.3171,practical guide,comparison,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0055,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,ARTICLE,ARTICLE,Beginner Buddhism ↔ Compassion,0.5556,0.2727,practical guide,script,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0056,https://echobuddha.com/articles/loving-kindness-meditation-guide/,https://echobuddha.com/quotes/meditation/meditation-is-returning/,ARTICLE,QUOTE_STORY,Compassion ↔ Meditation,0.5556,0.0227,script,quote/reflection,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0057,https://echobuddha.com/articles/right-speech-examples/,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,ARTICLE,LEARN_GUIDE,Right Speech,0.5556,0,practical guide,source study,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0058,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/sutta-for-daily-life/,LEARN_GUIDE,LEARN_GUIDE,Noble Eightfold Path ↔ Sutta Study,0.5556,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0059,https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,BUDDHISM_101,BUDDHISM_101,Buddhist Concepts,0.5455,0.3846,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0060,https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,BUDDHISM_101,BUDDHISM_101,Buddhist Concepts ↔ Page-specific / unclustered,0.5455,0.3704,beginner explanation,beginner explanation,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0061,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,BUDDHISM_101,BUDDHISM_101,Buddhist Concepts,0.5455,0.2273,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0062,https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,https://echobuddha.com/learn/buddhist-dictionary/anatta/,BUDDHISM_101,DICTIONARY_ENTRY,Buddhist Concepts,0.5455,0.1053,practical guide,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0063,https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/learn/eightfold-path/,ARTICLE,LEARN_GUIDE,Noble Eightfold Path,0.5455,0.075,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0064,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,https://echobuddha.com/learn/buddhist-dictionary/anatta/,BUDDHISM_101,DICTIONARY_ENTRY,Buddhist Concepts,0.5455,0.0714,practical guide,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0065,https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/learn/four-noble-truths/,ARTICLE,LEARN_GUIDE,Noble Eightfold Path ↔ Four Noble Truths,0.5455,0.0238,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0066,https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,ARTICLE,LEARN_GUIDE,Four Noble Truths,0.5455,0,beginner explanation,source study,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0067,https://echobuddha.com/articles/how-to-meditate-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,ARTICLE,LEARN_GUIDE,Meditation ↔ Beginner Buddhism,0.5455,0,practical guide,practical guide,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0068,https://echobuddha.com/learn/buddhist-dictionary/compassion/,https://echobuddha.com/learn/buddhist-dictionary/karuna/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Compassion,0.5,0.8462,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0069,https://echobuddha.com/learn/buddhist-dictionary/compassion/,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Compassion ↔ Mindfulness,0.5,0.8462,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0070,https://echobuddha.com/learn/buddhist-dictionary/nirvana/,https://echobuddha.com/learn/buddhist-dictionary/sangha/,DICTIONARY_ENTRY,DICTIONARY_ENTRY,Buddhist Concepts ↔ Sangha,0.5,0.8462,glossary lookup,glossary lookup,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
TI-0071,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,LEARN_GUIDE,LEARN_GUIDE,Four Noble Truths ↔ Noble Eightfold Path,0.5,0.5714,source study,beginner explanation,REQUIRES_PHASE_2_DIFFERENTIATION_REVIEW
