URL,Before sitemap,After sitemap,Change,Reason
https://echobuddha.com/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/404.html,No,No,UNCHANGED,Matches indexability policy.
https://echobuddha.com/about/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/category/meditation/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/category/mindfulness/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/category/practice/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/category/reflection/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/compassion-with-boundaries/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/eightfold-path-explained/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/first-week-buddhist-practice/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/five-precepts-in-daily-life/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/four-noble-truths-explained/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/how-to-meditate-for-beginners/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/how-to-practice-non-attachment/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/impermanence-in-buddhism/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/letting-go-without-giving-up/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/metta-meditation-script/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/mindful-email-and-texting/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Yes,Yes,UNCHANGED,Matches indexability policy.
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,Yes,UNCHANGED,Matches indexability policy.
