URL,Files changed,Content object / identifier,Old approximate words,New approximate words,Sections removed,Sections added,Sections materially rewritten,Sources added,Sources removed,Examples added,Misconceptions added,Safety changes,FAQ changes,Internal link changes,Title changed?,H1 changed?,Description changed?,Index state changed?,Canonical changed?,URL changed?,Phase 2 ownership preserved?,Phase 3 index policy preserved?,Validation result,Rollback method
https://echobuddha.com/learn/buddhism-for-beginners/,src/pages/learn/buddhism-for-beginners.astro,beginner hub,610,856,No substantive teaching removed; repeated framing tightened only where needed.,Practice map; tradition diversity; source-versus-interpretation boundary,Practice map; tradition diversity; source-versus-interpretation boundary,SN 56.11; SN 45.8,Legacy or indirect source link replaced where listed in source register.,Three-path newcomer decision map,Buddhism is not one uniform culture or generic wellness,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for beginner hub in src/pages/learn/buddhism-for-beginners.astro; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/four-noble-truths/,src/pages/learn/four-noble-truths.astro,four truths hub,439,837,No substantive teaching removed; repeated framing tightened only where needed.,Four truth/task model; worked criticism case; focused practice,Four truth/task model; worked criticism case; focused practice,SN 56.11,Legacy or indirect source link replaced where listed in source register.,Workplace criticism traced through four tasks,Dukkha is not the claim that life is only pain,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for four truths hub in src/pages/learn/four-noble-truths.astro; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/eightfold-path/,src/pages/learn/eightfold-path.astro,eightfold path hub,510,841,No substantive teaching removed; repeated framing tightened only where needed.,Threefold training; integrated factors; difficult-reply case,Threefold training; integrated factors; difficult-reply case,SN 45.8,Legacy or indirect source link replaced where listed in source register.,Harsh-reply decision case,Right is not a weapon for moral superiority,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for eightfold path hub in src/pages/learn/eightfold-path.astro; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,src/data/learn.ts,what-is-buddhism learning object,621,898,No substantive teaching removed; repeated framing tightened only where needed.,Living-tradition scope; teaching/practice/community map; tradition limits,Living-tradition scope; teaching/practice/community map; tradition limits,SN 56.11; SN 45.8,Legacy or indirect source link replaced where listed in source register.,Responding to criticism,"Not one uniform culture, mere philosophy, or relaxation system",Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for what-is-buddhism learning object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,src/data/learn.ts,karma learning object,556,873,No substantive teaching removed; repeated framing tightened only where needed.,Intentional action; mixed motives; responsibility without shame,Intentional action; mixed motives; responsibility without shame,AN 6.63,Legacy or indirect source link replaced where listed in source register.,Correction after a harmful reply,"Not fate, punishment, or grounds for blaming suffering",Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for karma learning object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,src/data/learn.ts,impermanence learning object,564,866,No substantive teaching removed; repeated framing tightened only where needed.,Conditioned change at multiple scales; grief-safe application,Conditioned change at multiple scales; grief-safe application,Dhammapada 273–289,Legacy or indirect source link replaced where listed in source register.,Praise and criticism changing over time,Not nihilism and not an instruction to minimize grief,Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for impermanence learning object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,None,Review only,1582,1582,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/articles/three-poisons-buddhism-explained/,None,Review only,2302,2302,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,None,Review only,2189,2189,None,None,None,None,None,None,None,Reviewed; no change required.,None; no FAQ schema or word-count padding added.,None,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,No content rollback required.
https://echobuddha.com/learn/buddhist-dictionary/metta/,src/data/learn.ts,metta dictionary object,507,803,No substantive teaching removed; repeated framing tightened only where needed.,Pali meaning; related brahmavihāra terms; definition/practice boundary,Pali meaning; related brahmavihāra terms; definition/practice boundary,Snp 1.8,Legacy or indirect source link replaced where listed in source register.,Goodwill with a firm boundary,"Not forced affection, approval, reconciliation, or access",Existing non-clinical and non-authority scope preserved.,None; no FAQ schema or word-count padding added.,Existing owner/support journey preserved; source links strengthened; no orphaning.,No,No,No,No,No,No,Yes,Yes,PASS — build/type/lint/test/SEO/content batch gate,Revert the Phase 4 hunk for metta dictionary object in src/data/learn.ts; rebuild and rerun Phase 4 validation.
