cluster_id,cluster_type,member_count,member_urls,provisional_survivor_candidate,survivor_phase_2_score,survivor_protection_tier,survivor_clicks_3m,survivor_impressions_3m,survivor_internal_authority,query_ownership,backlinks,canonical_state,rationale,survivor_confidence,phase_4_constraint,visible_candidate_queries,google_canonical,last_crawl,evidence_date
OWNER-44d8b53ca7,DECLARED_OWNER_SUPPORT,7,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/ | https://echobuddha.com/learn/buddhist-dictionary/sati/ | https://echobuddha.com/learn/buddhist-dictionary/mindfulness/ | https://echobuddha.com/meditation/mindfulness-in-daily-life/ | https://echobuddha.com/articles/mindfulness-vs-meditation/ | https://echobuddha.com/articles/mindfulness-morning-routine/ | https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,85,SEO_P1_HIGH,0,14,MEDIUM,VISIBLE_PRIMARY_OWNER:2,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 6/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,what is mindfulness in buddhism | mindfulness buddhism,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,2026-08-16T03:52:28Z,2026-08-21
OWNER-2975a4ea95,DECLARED_OWNER_SUPPORT,7,https://echobuddha.com/learn/buddhism-for-beginners/ | https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/ | https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/ | https://echobuddha.com/articles/first-week-buddhist-practice/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/ | https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,90,SEO_P1_HIGH,0,128,MEDIUM,VISIBLE_PRIMARY_OWNER:18,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 6/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,buddhism for beginners | beginners buddhism | how to practice buddhism for beginners | beginner buddhism | beginners guide to buddhism | buddhism beginners guide | buddhism for beginner | buddhist teachings for beginners | buddism for beginners | beginner guide to buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,2026-08-17T21:21:44Z,2026-08-21
OWNER-4ac8cc20d1,DECLARED_OWNER_SUPPORT,5,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/ | https://echobuddha.com/learn/buddhist-dictionary/anicca/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/impermanence-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,84,SEO_P2_EMERGING,0,2,MEDIUM,NO_VISIBLE_QUERY_DATA,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 4/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,2026-08-06T20:44:36Z,2026-08-21
OWNER-0cf3704485,DECLARED_OWNER_SUPPORT,2,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/ | https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,66,SEO_P1_HIGH,0,17,HIGH,VISIBLE_PRIMARY_OWNER:1,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 5/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,6 buddhist teachings to stop overthinking,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,2026-07-04T18:06:35Z,2026-08-21
OWNER-6ea8025de9,DECLARED_OWNER_SUPPORT,5,https://echobuddha.com/articles/ | https://echobuddha.com/articles/category/buddhist-wisdom/ | https://echobuddha.com/articles/category/mindfulness/ | https://echobuddha.com/articles/category/meditation/ | https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/,50,SEO_P1_HIGH,0,17,HIGH,VISIBLE_PRIMARY_OWNER:1,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 5/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,buddhist blogs,https://echobuddha.com/articles/,2026-08-14T18:11:55Z,2026-08-21
OWNER-a84fd88395,DECLARED_OWNER_SUPPORT,5,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ | https://echobuddha.com/learn/buddhist-dictionary/compassion/ | https://echobuddha.com/articles/compassion-with-boundaries/ | https://echobuddha.com/learn/buddhist-dictionary/karuna/ | https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,77,SEO_P1_HIGH,0,24,MEDIUM,VISIBLE_PRIMARY_OWNER:11,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 6/6.",HIGH_CONFIDENCE,EVALUATION_ONLY; Phase 4 must independently approve intent equivalence and any redirect,compassion buddhism | buddhist compassion | becoming the compassion buddha | buddha compassion | compassion buddhist | buddhism and compassion | buddhism compassion | buddhist definition of compassion | compassion in buddhism | what does compassion mean in buddhism,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,2026-07-18T16:55:09Z,2026-08-21
OWNER-5b79413d7d,DECLARED_OWNER_SUPPORT,9,https://echobuddha.com/meditation/ | https://echobuddha.com/meditation-guide/ | https://echobuddha.com/meditation/5-minute-meditation-practice/ | https://echobuddha.com/meditation/when-meditation-feels-hard/ | https://echobuddha.com/meditation/10-minute-meditation-practice/ | https://echobuddha.com/meditation/meditation-posture-for-beginners/ | https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/ | https://echobuddha.com/meditation/meditation-for-beginners/ | https://echobuddha.com/articles/how-to-meditate-for-beginners/,https://echobuddha.com/meditation/,56,SEO_P2_EMERGING,0,6,HIGH,NO_VISIBLE_QUERY_DATA,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 4/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/meditation/,2026-08-20T06:58:53Z,2026-08-21
OWNER-4c2d21235c,DECLARED_OWNER_SUPPORT,2,https://echobuddha.com/learn/buddhist-dictionary/dhamma/ | https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,81,SEO_P1_HIGH,0,109,HIGH,VISIBLE_PRIMARY_OWNER:22,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 6/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,dhamma buddhism | dhamma | what is the dhamma in buddhism | dhamma meaning | what is the dhamma | define dhamma | meaning of dhamma in buddhism | what is dhamma | dhamma means | dhamma definition,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,2026-07-07T18:14:58Z,2026-08-21
OWNER-2f1c15ec2f,DECLARED_OWNER_SUPPORT,9,https://echobuddha.com/learn/dhammapada-reflections/ | https://echobuddha.com/articles/dhammapada-verse-1-meaning/ | https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ | https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/ | https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/ | https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ | https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/ | https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/ | https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/learn/dhammapada-reflections/,88,SEO_P2_EMERGING,0,2,MEDIUM,NO_VISIBLE_QUERY_DATA,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 4/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/learn/dhammapada-reflections/,2026-07-04T19:36:35Z,2026-08-21
OWNER-1b75927541,DECLARED_OWNER_SUPPORT,7,https://echobuddha.com/learn/eightfold-path/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/ | https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ | https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/ | https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,https://echobuddha.com/learn/eightfold-path/,89,SEO_P1_HIGH,0,24,MEDIUM,NO_VISIBLE_QUERY_DATA,CURRENT_GSC_LINKS_CHECKED_NO_USABLE_ROWS; NOT_ZERO_CLAIM,GOOGLE_USER_CANONICAL_AGREE; Submitted and indexed,"Recomputed with query×page ownership, final page windows, URL Inspection canonical/index/crawl evidence, Phase 2 value, internal authority, and current sampled Links evidence; factor gate 5/6.",MEDIUM_CONFIDENCE,DO_NOT_AUTOMERGE; Phase 4 evidence/design review required,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/learn/eightfold-path/,2026-08-24T05:21:57Z,2026-08-21
