"Domain","Evidence item","Current verified state","Evidence taxonomy","Cutoff/date","Result","Defect","Owner action"
"GSC performance","Latest 28 days","15 clicks; 1,375 impressions; 1.09% CTR; position 32.38","GSC_FACT","2026-08-11","GROWING SEARCH FOOTPRINT / IMMATURE","No","Refresh after meaningful post-release window"
"GSC performance","2026-08-13 export refresh verification","Seven supplied CSVs are byte-identical to the Phase 10 latest-28-day baseline; window 2026-07-15–2026-08-11; 0 post-release days","OWNER_CSV_FACT + SHA256_RECONCILIATION","2026-08-11","EVIDENCE PROVENANCE REFRESHED / NON-BLOCKING INTERNAL MEASUREMENT FOLLOW-UP","No","For internal attribution, export again after the complete-data cutoff is at least 2026-09-10; do not delay AdSense review for this"
"GSC performance","Previous 28 days","9 clicks; 230 impressions; 3.91% CTR; position 42.93","GSC_FACT","2026-07-14","BASELINE","No","None"
"GSC privacy","Visible query coverage","6.67% clicks; 46.04% impressions","GSC_FACT","2026-08-11","MATERIAL LIMITATION","No","Never invent hidden query intersections"
"GSC indexing","Page Indexing URL reconciliation","322 indexed; 26 not indexed; 348 known; all 26 examples and the distinct 15-URL Inspection set reconciled","GSC_FACT + OWNER_WORKBOOK_FACT + OWNER_LIVE_TEST_FACT + LIVE_PRODUCTION_FACT + GIT_HISTORY_FACT","2026-08-07","GENERALLY HEALTHY / EVIDENCE GATES CLOSED / ONE NON-BLOCKING P2","Yes — legacy redirect/recovery only; no P0/P1 indexing defect","Preserve matching intent; monitor /start-here/ processing and the stale stored state for /daily-reflections/today/; separately propose legacy terms redirect and branded missing-path fallback"
"GSC HTTPS","Non-HTTPS","0","GSC_FACT","2026-08-13","PASS","No","None"
"GSC enhancement","Breadcrumb","0 invalid; 30 valid","GSC_FACT","2026-08-12","PASS WITH SCOPE","No","None"
"GSC","Manual Actions","No issues detected","OWNER_SCREENSHOT_FACT","2026-08-14","PASS","No","Closed; screenshot 2814x1372, SHA-256 32fcdd598116fa58366d4e1d7d40a376a61ea35dc3046fd4ea17108aaba25470"
"GSC","Security Issues","No issues detected","OWNER_SCREENSHOT_FACT","2026-08-14","PASS","No","Closed; screenshot 2814x1372, SHA-256 dd32636f03d1ef61353ab4a6f4658035fe36cc6facd14c361e6f6ddf5388bd28"
"GSC","Sitemaps","https://echobuddha.com/sitemap.xml; submitted 2026-08-11; last read 2026-08-11; Success; 193 pages; 0 videos","OWNER_SCREENSHOT_FACT + LIVE_PRODUCTION_FACT","2026-08-14","PASS","No","Closed; screenshot SHA-256 ba92d49c5168c1febf5d534e878a24e40cbc0d849d0b494c8b79159a4ec1a1dd"
"GSC","URL Inspection","15/15 headline results supplied; 8/9 intended indexable targets stored as indexed; both Live Test follow-ups complete; /start-here/ indexable with indexing request accepted; /daily-reflections/today/ current noindex confirmed","OWNER_SCREENSHOT_FACT + OWNER_LIVE_TEST_FACT","2026-08-14","PASS — INSPECTION GATE CLOSED / GOOGLE PROPAGATION MONITORING ONLY","No systemic defect proven","Preserve intent and evidence; follow-up SHA-256 5ebe0fccb78aa5764855b1bf67aab3a1a76904efe1a6d9e971a615241ab61a6c | 879a30071e8ac33ef3d027990b7adba2d52cc63fd69ddc458594fe1bc48f9cee | 439a37bbca8428fd743bb25d468858281b074b86148df10ac9e52dcc8def98b8"
"GSC","Field CWV","Not enough usage data in the last 90 days for mobile and desktop","OWNER_SCREENSHOT_FACT","2026-08-14","PASS — ACCEPTABLE NO-DATA STATE","No","Closed; screenshot SHA-256 af36c27371c542ebdfd53324094363b9758443439253ce7bcfe86a0105b40684"
"AdSense","Sites status","Getting ready; Review requested","OWNER_SCREENSHOT_FACT","2026-08-14","PASS — REVIEW IN PROGRESS / NOT YET APPROVED","No","Closed; last updated 2026-08-14 08:16 GMT+05:30; screenshots SHA-256 c8dc58d1e15599bede04444f1ebda326892f3a8f7864ea6b1611664170a76b61 | 6f457498f0bc717262e02f389c76036b2cfc3fc613436c99682fc3e797ea2523"
"AdSense","Policy Center","No current issues","OWNER_SCREENSHOT_FACT","2026-08-14","PASS","No","Closed; screenshot SHA-256 04d0c99f5cf0fbe8e596fa5e3ad7cd199521916871e6811b8796b69a01f930e4"
"AdSense","Latest review status","Action needed: Your AdSense application; Application not approved; account update required; content-focused guidance; no exact policy subtype stated","OWNER_EMAIL_SCREENSHOT_FACT + OWNER_SITES_SCREENSHOT_FACT + CROSS_SOURCE_INFERENCE","2026-08-10","CLOSED — REJECTION HISTORY CAPTURED / EXACT POLICY SUBTYPE UNSTATED","No new defect proven","Preserve evidence; email screenshots b69dadc114444b83369e9a85147cae1179a3f9e57452a8d031fe60ef48cf0284 | bb690c162433baf439a577f7d4ec5c812cfc5ee972248a38977e0563ce74dc81 | da7a51e88f912f173966cff9274c360758218ea1dfb0a7fad1d014d89fc5b912; do not treat generic Help Center causes as account-specific"
"AdSense","ads.txt account status","Not found","OWNER_ATTESTATION + LIVE_PRODUCTION_FACT + GOOGLE_POLICY_FACT","2026-08-14","PASS IMPLEMENTATION / NON-BLOCKING ACCOUNT-PROPAGATION MONITORING","No live-file defect; account label has not refreshed","Keep the valid file stable; monitor after Google recrawl/propagation without delaying review"
"AdSense","Site ownership and onboarding","Verified; account-provided ads.txt line exactly matches pub-3911157640549350; All steps complete; payments Your profile is complete; ads Ads settings confirmed; site Thanks for connecting the site; Review requested","OWNER_SCREENSHOT_FACT + LIVE_PRODUCTION_FACT","2026-08-14","PASS — OWNERSHIP, ONBOARDING, AND REVIEW SUBMISSION CLOSED","No","Preserve evidence; SHA-256 1773c7bfbc6c83ad3af4739023cb299e01e9c474efa36a3f8207c9b472e44562 | bf5c3f6a2205279af94970505703543404e4f45a4d0c1dbb9235e07bd648fcdc | 2683b13ee3e6824a49cb77d0d00865507e2603dbf9fccbdb6188e293728266fc | 6f457498f0bc717262e02f389c76036b2cfc3fc613436c99682fc3e797ea2523"
"AdSense","Auto Ads / Auto optimize","Auto ads OFF; Auto optimize OFF; auto-apply winner OFF (unchecked); experiment traffic 50% configured but inactive; page exclusions 0","OWNER_SCREENSHOT_FACT + LIVE_PRODUCTION_FACT","2026-08-14","PASS DISABLED — ACCOUNT REMEDIATION CLOSED; LIVE RUNTIME DISABLED","No","Protect OFF state during review; do not enable ad serving before approval and controlled activation"
"AdSense","CMP/Privacy & messaging","European regulations 2 published; echobuddha.com message Published and enabled; current editor exposes Consent / Do not consent / Manage options; Echo Buddha site name, HTTPS privacy-policy URL, and logo configured; Google-managed European regulations message; exact UI version label not exposed in supplied account view","OWNER_SCREENSHOT_FACT + LIVE_PRODUCTION_FACT","2026-08-14","PASS — CURRENT MESSAGE AND SITE CONFIGURATION VERIFIED","No proven defect","Preserve evidence; completion SHA-256 994011e35a39be86d60c7a6fd7e04a519db3f0df2c816602d048209b590c4042 | 8b472fc91ee9735dcc997c799f69a556942582349b58ea2663acddf5713e5356 | 766b1379c154b20fba07cb7b996f2c457bc59f45fe944a60d28bc7a6c29ae1a0"
