"Control","Expected/current state","Result","Evidence","Defect","Blocks reapplication","Action"
"Privacy policy","Public and current","PASS","Repository/build/live","No","No","Protect"
"First visit analytics","Off until affirmative acceptance","PASS","Live browser","No","No","Protect"
"Reject analytics","No GA script/network","PASS","Live browser","No","No","Protect"
"Accept analytics","GA script only after acceptance","PASS","Live browser","No","No","Protect"
"Reopen settings","Persistent settings control","PASS","Live browser","No","No","Protect"
"Content after rejection","Fully usable","PASS","Live browser","No","No","Protect"
"AdSense script","Disabled","PASS DISABLED","336 live routes","No","No","Protect"
"Manual slots","Disabled","PASS DISABLED","336 live routes","No","No","Protect"
"Unintended placeholders","0","PASS","336 live routes","No","No","Protect"
"Publisher meta","ca-pub-3911157640549350","PASS","Build/live","No","No","Protect"
"AdSense site ownership","Verified; account offers code, ads.txt, and meta-tag methods","PASS","OWNER_SCREENSHOT_FACT + BUILD/LIVE_FACT","No","No","Protect"
"ads.txt","Live HTTPS returns 200 text/plain with the exact seller line; HTTP redirects to HTTPS; AdSense account status: Not found","PASS IMPLEMENTATION / MONITOR ACCOUNT PROPAGATION","Build/live + OWNER_ATTESTATION + GOOGLE_POLICY_FACT","No — account label lag is not a live-file defect","No","Keep the correct live file unchanged; monitor Google recrawl/propagation without delaying the review request"
"Advertising storage","Denied while ads disabled","PASS","Repository/browser","No","No","Protect"
"Auto Ads","OFF; Auto optimize OFF; auto-apply winner OFF (unchecked); experiment traffic 50% configured but inactive; page exclusions 0","PASS DISABLED — REMEDIATED","OWNER_SCREENSHOT_FACT","No — remediated","No","Protect OFF state; do not enable before controlled Phase 12 activation"
"Certified CMP","Google CMP selected; echobuddha.com has a dedicated published European message; English +31; last modified 2026-08-06; current message exposes Consent / Do not consent / Manage options; site name, HTTPS privacy-policy URL, and logo are configured","PASS — OWNER CONFIGURATION EVIDENCE COMPLETE","OWNER_SCREENSHOT_FACT","No","Yes — final evidence gate","Owner captures AdSense Privacy & messaging/account state"
"TCF baseline","Google-managed European regulations message; exact UI version label not exposed in supplied account view","PASS WITH EXPLICIT UI-VERSION BOUNDARY","OWNER_SCREENSHOT_FACT + GOOGLE_MANAGED_CMP_FACT","No","No","Protect"
"Legal compliance","No blanket claim","PASS WITH LEGAL LIMITATION","Repository behavior only","No","No","Protect"
