URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,individually authored story,indexable,in sitemap,666,17,0,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,65.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 666 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 65.8%; external source links 0
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,generated story,indexable,in sitemap,680,17,0,https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,86.0,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 680 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 86.0%; external source links 0
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,generated story,indexable,in sitemap,706,17,0,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,85.2,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 706 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 85.2%; external source links 0
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,generated story,"noindex, follow",not in sitemap,689,17,0,Not calculated for noindex page,,KEEP CURRENT NOINDEX,P3,Current noindex page preserved; not part of the indexable scoring population.
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,generated story,"noindex, follow",not in sitemap,681,17,0,Not calculated for noindex page,,KEEP CURRENT NOINDEX,P3,Current noindex page preserved; not part of the indexable scoring population.
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,individually authored story,indexable,in sitemap,640,17,0,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,68.2,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 640 words; 17 content headings; individually authored story; nearest /quotes/awareness/one-breath-before-anger-replies/ combined overlap 68.2%; external source links 0
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,generated story,indexable,in sitemap,685,17,0,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,86.5,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 685 words; 17 content headings; generated story; nearest /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ combined overlap 86.5%; external source links 0
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,generated story,indexable,in sitemap,700,17,0,https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,87.5,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 700 words; 17 content headings; generated story; nearest /quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ combined overlap 87.5%; external source links 0
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,generated story,"noindex, follow",not in sitemap,662,17,0,Not calculated for noindex page,,KEEP CURRENT NOINDEX,P3,Current noindex page preserved; not part of the indexable scoring population.
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,individually authored story,indexable,in sitemap,670,17,0,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,68.2,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 670 words; 17 content headings; individually authored story; nearest /quotes/awareness/feelings-without-the-wheel/ combined overlap 68.2%; external source links 0
