URL,Before index state,Current index state,Current sitemap,Phase 3 action,Current user availability,Internal search,Reconciliation result,Evidence
https://echobuddha.com/quotes/awareness/,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,PRESERVED_200,ABSENT_REVIEW,VALIDATED,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/compassion/,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,PRESERVED_200,ABSENT_REVIEW,VALIDATED,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/compassion/gentle-self-compassion/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,indexable,noindex,out of sitemap,NOINDEX,PRESERVED_200,PRESENT,VALIDATED,Mechanically generated story has high structural overlap and limited independent search value; route and internal discovery remain available.
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/,indexable,indexable,in sitemap,KEEP_INDEXED,PRESERVED_200,PRESENT,VALIDATED,Individually authored reflection retains a distinct narrative and remains in the curated indexed subset.
https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,noindex,noindex,out of sitemap,KEEP_NOINDEXED,PRESERVED_200,PRESENT,VALIDATED,Existing noindex generated story remains accessible and excluded from the sitemap.
