query,page,clicks,impressions,ctr,position,start_date,end_date,data_state,aggregation_type,retrieval_status,error,window_name
buddhism letting go quotes,https://echobuddha.com/quotes/letting-go/,1,19,0.05263157894736842,11.526315789473685,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" buddha attribution",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,2,0,10.5,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" buddha attribution",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,1,0,8,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" buddha attribution source",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,2,0,7,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" buddha attribution source",https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,0,3,0,7.666666666666667,2026-06-23,2026-08-21,final,byPage,SITEWIDE_QUERY_PAGE,,recovery
"""what we think, we become"" buddha dhammapada translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,1,0,10,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" buddha quote attribution",https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,0,1,0,11,2026-06-23,2026-08-21,final,byPage,SITEWIDE_QUERY_PAGE,,recovery
"""what we think, we become"" dhammapada",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,2,0,10,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" dhammapada translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,10,0,7.5,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" dhammapada translation",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0,4,0,4.75,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
"""what we think, we become"" dhammapada verse 1 translation",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0,7,0,8.857142857142858,2026-06-23,2026-08-21,final,byPage,SITEWIDE_AND_PAGE_FILTERED,,recovery
