URL,Topic cluster,Audience stage,User need,Journey level,Primary owner,Evidence
https://echobuddha.com/about/,Trust / Policy,GENERAL_READER,trust,LEVEL 1,https://echobuddha.com/about/,Publisher transparency or user-protection information specific to “About Echo Buddha”.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Mindfulness,PRACTITIONER,practical how to,SUPPORT,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Beginner Buddhism,BEGINNER,beginner informational,SUPPORT,https://echobuddha.com/learn/buddhism-for-beginners/,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”."
https://echobuddha.com/articles/buddhist-approach-to-anger/,Anger,SITUATION_SPECIFIC,scenario application,LEVEL 1,https://echobuddha.com/articles/buddhist-approach-to-anger/,"A narrower explanation, misconception, or example set specific to “A Buddhist Approach to Anger”."
https://echobuddha.com/articles/buddhist-gratitude-practice/,Gratitude,PRACTITIONER,practical how to,LEVEL 1,https://echobuddha.com/articles/buddhist-gratitude-practice/,Daily-life examples or a repeatable application tied specifically to “Buddhist Gratitude Practice Without Forced Positivity”.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Forgiveness,SITUATION_SPECIFIC,scenario application,LEVEL 1,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Forgiveness and Letting Go”."
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Impermanence,BEGINNER,foundational informational,SUPPORT,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”."
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Anxiety / Overthinking,SITUATION_SPECIFIC,scenario application,SUPPORT,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.
https://echobuddha.com/articles/category/buddhist-wisdom/,Article Discovery,GENERAL_READER,navigational,SUPPORT,https://echobuddha.com/articles/,"Orientation, selection, and meaningful navigation across the Article Discovery cluster."
https://echobuddha.com/articles/category/meditation/,Article Discovery,GENERAL_READER,navigational,SUPPORT,https://echobuddha.com/articles/,"Orientation, selection, and meaningful navigation across the Article Discovery cluster."
https://echobuddha.com/articles/category/mindfulness/,Article Discovery,GENERAL_READER,navigational,SUPPORT,https://echobuddha.com/articles/,"Orientation, selection, and meaningful navigation across the Article Discovery cluster."
https://echobuddha.com/articles/category/practice/,Buddhist Practice,PRACTITIONER,navigational,LEVEL 1,https://echobuddha.com/articles/category/practice/,"Orientation, selection, and meaningful navigation across the Buddhist Practice cluster."
https://echobuddha.com/articles/category/reflection/,Article Discovery,GENERAL_READER,navigational,SUPPORT,https://echobuddha.com/articles/,"Orientation, selection, and meaningful navigation across the Article Discovery cluster."
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Compassion,PRACTITIONER,practical how to,SUPPORT,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Daily-life examples or a repeatable application tied specifically to “Compassion as a Daily Buddhist Practice”.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Compassion,BEGINNER,foundational informational,LEVEL 1,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,"A narrower explanation, misconception, or example set specific to “Compassion in Buddhism: Beginner Guide and Daily Practice”."
https://echobuddha.com/articles/compassion-with-boundaries/,Compassion,SITUATION_SPECIFIC,scenario application,SUPPORT,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Meditation,SITUATION_SPECIFIC,scenario application,SUPPORT,https://echobuddha.com/meditation/,Worked guidance for the specific situation named by “Create a Peaceful Meditation Corner”.
https://echobuddha.com/articles/dhamma-vs-dharma/,Dhamma / Dharma,BEGINNER,comparative,SUPPORT,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Dhammapada,SOURCE_CURIOUS,source study,SUPPORT,https://echobuddha.com/learn/dhammapada-reflections/,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Reflection on a Trained Mind and Peace”."
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Dhammapada,SOURCE_CURIOUS,source study,SUPPORT,https://echobuddha.com/learn/dhammapada-reflections/,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada What We Think: Translation, Paraphrase, Reflection”."
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Dhammapada,SOURCE_CURIOUS,source study,SUPPORT,https://echobuddha.com/learn/dhammapada-reflections/,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Verse 1 Meaning and Translation Caution”."
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Noble Eightfold Path,PRACTITIONER,practical how to,SUPPORT,https://echobuddha.com/learn/eightfold-path/,Daily-life examples or a repeatable application tied specifically to “Eightfold Path in Daily Life”.
https://echobuddha.com/articles/eightfold-path-explained/,Noble Eightfold Path,BEGINNER,beginner informational,SUPPORT,https://echobuddha.com/learn/eightfold-path/,"A narrower explanation, misconception, or example set specific to “The Noble Eightfold Path Explained for Beginners”."
https://echobuddha.com/articles/equanimity-in-buddhism/,Equanimity,BEGINNER,foundational informational,LEVEL 1,https://echobuddha.com/articles/equanimity-in-buddhism/,"A narrower explanation, misconception, or example set specific to “Equanimity in Buddhism: Balanced Care Without Numbness”."
https://echobuddha.com/articles/first-week-buddhist-practice/,Beginner Buddhism,PRACTITIONER,practical how to,SUPPORT,https://echobuddha.com/learn/buddhism-for-beginners/,Daily-life examples or a repeatable application tied specifically to “First Week Buddhist Practice for Beginners”.
https://echobuddha.com/articles/five-precepts-in-daily-life/,Five Precepts,PRACTITIONER,practical how to,SUPPORT,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Daily-life examples or a repeatable application tied specifically to “Five Precepts in Daily Life: Buddhist Ethics for Beginners”.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Four Noble Truths,BEGINNER,beginner informational,SUPPORT,https://echobuddha.com/learn/four-noble-truths/,"A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained Simply for Beginners”."
https://echobuddha.com/articles/four-noble-truths-explained/,Four Noble Truths,BEGINNER,foundational informational,SUPPORT,https://echobuddha.com/learn/four-noble-truths/,"A narrower explanation, misconception, or example set specific to “The Four Noble Truths Explained Simply”."
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Attachment / Non-Attachment / Letting Go,GENERAL_READER,practical how to,LEVEL 1,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,"A narrower explanation, misconception, or example set specific to “How to Let Go of Attachment in Buddhism”."
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Anxiety / Overthinking,SITUATION_SPECIFIC,scenario application,LEVEL 1,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Worked guidance for the specific situation named by “How to Meditate for Anxiety Gently”.
