System,Timestamp,Deployment/version ID,Commit SHA,Source,Evidence result,Confidence
Cloudflare Workers,2026-08-05T10:32:25.972Z,da6727a4-dcc4-4b86-a598-d0ee2869fef5,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-05T11:31:57.152Z,7220f6df-6785-4dde-a51d-68f5d61406de,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-05T14:08:04.245Z,59616ebe-a12c-4a93-aff6-f90dc735a86e,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-05T16:22:36.018Z,4ae5a404-c447-46af-8eed-41532de5a586,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-05T16:46:26.552Z,3f5778f0-c89d-4c45-8073-ec977592956d,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-06T08:23:11.599Z,addd7c73-171e-4ec3-a143-f2a9fb98546d,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-06T08:23:36.424Z,0535872a-51bd-4e37-817f-d682596d03bf,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-06T08:33:48.506Z,2402232c-af27-48b4-b1ea-33930d3c3967,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-06T08:34:07.328Z,697939ba-5ac5-44c2-b53f-d099c9da7154,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
Cloudflare Workers,2026-08-06T16:58:18.853Z,36a554c8-d7c0-41cc-ae37-72db597e4de1,NOT_RECORDED,"wrangler deployments list (read-only, 2026-08-11)",DURABLE_DEPLOYMENT_RECORD_WITHOUT_GIT_LINK,High for deployment existence; none for SHA mapping
GitHub deployments API,N/A,NONE_RETURNED,N/A,GET /repos/rmtlbandara/EchoBuddha/deployments,NO_GITHUB_DEPLOYMENT_RECORDS,High
Live content parity,2026-08-11T04:39:47Z,Current live observation,a1cd457 content-equivalent,336-route normalized rendered-text comparison,336/336 live pages match forensic a1cd457 build; 35 differ from current working tree,High for content equivalence; not proof of deployment SHA
