URL / Item,File,Starting state,New state,Reason,Trust dependency,Source dependency,Schema dependency,Owner-confirmed data?,Rollback action,Risk,Validation
/,src/components/SEO.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Stable publisher entity,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,Central entity IDs,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/authors/echo-buddha-editorial/,src/pages/authors/echo-buddha-editorial.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Clarified organizational byline/accountability,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,Central entity IDs,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/about/,src/pages/about.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Clarified publisher and byline,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,Central entity IDs,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/editorial-policy/,src/pages/editorial-policy.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Strengthened truthful governance,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/how-echo-buddha-creates-content/,src/pages/how-echo-buddha-creates-content.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Matched actual process,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/buddhist-sources-and-citations/,src/pages/buddhist-sources-and-citations.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Strengthened claim-source rules,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/quote-attribution-policy/,src/pages/quote-attribution-policy.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Strengthened attribution governance,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/corrections/,src/pages/corrections.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Made workflow concrete,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/contact/,src/pages/contact.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Removed unverified team implication,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/articles/what-is-karma-in-buddhism/,src/data/editorialGovernance.ts,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Changed Kalama Sutta to AN 6.63,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,AN 6.63,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
/learn/buddhist-dictionary/karma/,src/data/learn.ts,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Changed Kalama Sutta to AN 6.63,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,AN 6.63,None,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
Authored page families,src/pages/articles/[slug].astro; src/pages/learn/[section]/[slug].astro; src/pages/meditation/[slug].astro; src/pages/quotes/[category]/[story].astro; src/pages/daily-reflections/[slug].astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Stable organization IDs and URLs,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,Central entity IDs,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
Policy/hub families,src/pages/privacy-policy.astro; src/pages/terms-of-use.astro; src/pages/disclaimer.astro; src/pages/meditation-safety.astro; src/pages/articles/index.astro,Phase 5 ending commit 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a,Stable publisher entity,Verified Phase 6 trust/source strengthening,Organizational byline and publisher accountability,Protected or not applicable,Central entity IDs,No personal/credential data added,"Restore listed file from 6ee25e6e91a0730195b8850ea1a5d88ab42bbb3a, rebuild, and rerun Phase 6 validation",LOW to MEDIUM,PASS
