URL,Change,Source file or policy,Rollback action,Expected restored state,Risk
https://echobuddha.com/daily-reflections/anger-as-a-signal/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/begin-again-without-shame/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/enough-for-this-moment/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/evening-release/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/family-patience/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/gratitude-for-change/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/listen-before-answering/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/mindful-work/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/morning-intention/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/notice-before-fixing/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/one-honest-breath/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/one-step-on-the-path/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/rest-without-escape/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/see-the-conditions/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/simple-goodwill/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,"index,follow + sitemap → noindex,follow + out of sitemap",src/pages/daily-reflections/[slug].astro and src/pages/sitemap.xml.ts,Remove the noindex Layout prop and restore daily reflection detail URLs to sitemap generation.,"200, self-canonical, index,follow, present in sitemap",Low; deterministic code-level rollback with no content loss or redirect chain.
