path,url,page_family,title,h1,meta_description,indexability,canonical,sitemap_status,word_count_estimate,h1_count,internal_inlinks,internal_outlinks,external_outlinks,source_attribution_signals,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position
/,https://echobuddha.com/,homepage,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,"Explore simple Buddhist teachings, daily reflections, quote meanings, beginner meditation guides, and mindfulness practices for a calmer everyday life.",indexable,https://echobuddha.com/,in sitemap,1184,1,704,100,0,source-context-visible,12,58,20.69%,3.60
/404.html,https://echobuddha.com/404.html,error,Page Not Found | Echo Buddha,Page Not Found,"The requested Echo Buddha page could not be found. Return to Buddhist articles, quotes, or meditation guidance.","noindex, follow",,not in sitemap,159,1,0,26,0,source-context-visible,0,0,,
/about/,https://echobuddha.com/about/,trust/policy,About Echo Buddha | Echo Buddha,About Echo Buddha,Learn about Echo Buddha,indexable,https://echobuddha.com/about/,in sitemap,461,1,313,27,0,source-context-visible; quote-origin-visible,0,11,0.00%,10.64
/articles/,https://echobuddha.com/articles/,hub,Articles and Blog | Echo Buddha,Articles and Blog,"Browse Echo Buddha articles on mindfulness, meditation, compassion, patience, and Buddhist-inspired daily reflection.",indexable,https://echobuddha.com/articles/,in sitemap,1522,1,837,153,0,source-context-visible; safety-boundary-visible,0,11,0.00%,3.73
/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,"Start a daily mindfulness practice with simple breath awareness, realistic timing, habit cues, and kind ways to begin again.",indexable,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,in sitemap,1504,1,44,59,0,source-context-visible,0,0,,
/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,"A beginner-friendly guide to Buddhism, the Four Noble Truths, meditation, ethics, and simple daily practice without overwhelm.",indexable,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,in sitemap,1784,1,20,67,2,source-context-visible,0,4,0.00%,30.00
/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,article,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond","Learn a Buddhist-inspired approach to anger using mindful pause, body awareness, compassion, boundaries, and wise response.",indexable,https://echobuddha.com/articles/buddhist-approach-to-anger/,in sitemap,1569,1,27,59,1,source-context-visible; quote-origin-visible; safety-boundary-visible,0,1,0.00%,5.00
/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,article,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,"A reflective Buddhist gratitude practice shaped by contentment, generosity, relationship, and impermanence without denying difficulty.",indexable,https://echobuddha.com/articles/buddhist-gratitude-practice/,in sitemap,1772,1,74,57,2,source-context-visible; quote-origin-visible; safety-boundary-visible,0,1,0.00%,6.00
/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,"Explore Buddhist-inspired teachings on forgiveness, letting go of resentment, and finding peace without excusing harmful actions.",indexable,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,in sitemap,1728,1,18,58,1,source-context-visible; quote-origin-visible; safety-boundary-visible,0,0,,
/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,"Explore Buddhist teachings on impermanence, change, grief, gratitude, and daily ways to practice anicca with care.",indexable,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,in sitemap,1633,1,17,63,1,source-context-visible; safety-boundary-visible,0,1,0.00%,3.00
/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,"Discover Buddhist-inspired ways to understand overthinking, calm a busy mind, return to the present moment, and respond to thoughts with awareness.",indexable,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,in sitemap,1730,1,90,57,0,source-context-visible; quote-origin-visible; safety-boundary-visible,0,17,0.00%,10.18
/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,article category,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,"Explore Buddhist wisdom articles about compassion, impermanence, anger, ethics, and the Noble Eightfold Path.",indexable,https://echobuddha.com/articles/category/buddhist-wisdom/,in sitemap,792,1,251,75,0,source-context-visible,0,5,0.00%,45.80
