decision_area,decision,status,rationale,next_step
Overall,"Repository-ready for owner AdSense review",selected,"Phases 0-7 are complete; repository validation and production spot checks are strong; ads remain disabled.","Owner completes account, legal/privacy, CMP, Search Console, analytics, and final placement reviews."
Overall,"Ready to apply for AdSense",not_selected,"Owner/account/legal/CMP/Search Console checks are not complete, and no fresh post-deployment GSC export was found.","Do not apply yet."
Repository,"Ready for owner review",selected,"No publisher ID or live ad code found; sitemap/indexability/trust/source/safety evidence is in place.","Keep repository unchanged until owner approves exact monetization implementation."
Production,"Production ready, owner/account pending",selected,"Production homepage, robots, sitemap, headers, trust pages, noindex pages, and no-ad samples checked successfully on 2026-08-05.","Record deployed commit SHA and rerun production checks before submission."
Production,"Repository ready, production pending",partially_selected,"Deployment commit metadata is not exposed even though production spot checks align with Phase 6 state.","Owner should record deployed SHA and deployment timestamp."
Owner,"Needs AdSense account review",selected,"No access to AdSense account eligibility, Policy Center, payment, tax, or site review status.","Owner checks AdSense account before any application."
Owner,"Needs legal/privacy review",selected,"Repo has policies but no legal/CMP review; Google EU consent/CMP requirements may apply by user region and ad strategy.","Owner/legal reviewer approves privacy, CMP, consent revocation, and disclosures."
Owner,"Needs source/copyright review",selected,"Repository source posture is careful, but no external Buddhist/source/copyright approval is claimed.","Owner reviews Dhammapada/sutta/translation/source pages before monetizing source-study areas."
Owner,"Needs safety review",selected,"Meditation safety is repository-governed, but ads near practice/wellbeing content should be reviewed externally.","Keep meditation pages ad-free unless reviewed and approved."
Page families,"Do not monetize this page family",selected_for_sensitive_families,"Search, 404, tools, trust/policy pages, today's reflection, quote stories, and meditation instructions carry UX/safety/trust risks.","Keep these families ad-free in the first monetization plan."
Implementation,"No AdSense activation in Phase 8",selected,"User requested readiness review, not ads; brief prohibits adding code by default.","No publisher ID, Auto Ads, ad units, or consent-default changes were added."
