Pattern,Pages containing pattern,Percent of indexable pages,High-risk families,Evidence,Judgement
notice,188,66.4,article | trust/policy | daily reflection | hub/utility | homepage | learn detail | learn hub | other | meditation detail | quote story | quote category,/articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-approach-to-anger/ | /articles/buddhist-gratitude-practice/ | /articles/buddhist-teachings-on-forgiveness/ | /articles/buddhist-teachings-on-impermanence/ | /articles/buddhist-wisdom-for-overthinking/ | /articles/compassion-in-buddhism-beginner-guide/,High reuse
in daily life,133,47.0,article | article category | hub/utility | homepage | learn detail | learn hub | meditation detail | quote story | quote category,/articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-approach-to-anger/ | /articles/buddhist-teachings-on-forgiveness/ | /articles/buddhist-teachings-on-impermanence/ | /articles/buddhist-wisdom-for-overthinking/ | /articles/category/buddhist-wisdom/ | /articles/category/mindfulness/,High reuse
this does not mean,15,5.3,article | learn detail,/articles/compassion-as-a-daily-discipline/ | /articles/dhammapada-reflection-what-we-think/ | /articles/eightfold-path-explained/ | /articles/four-noble-truths-explained-simply/ | /articles/four-noble-truths-explained/ | /articles/impermanence-in-buddhism-letting-go/ | /articles/impermanence-in-buddhism/ | /articles/loving-kindness-meditation-beginners/,Contextual
for beginners,119,42.0,trust/policy | article | article category | hub/utility | author/trust | daily reflection | homepage | learn detail | learn hub | other | meditation detail | quote story | quote category,/about/ | /articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhism-for-beginners-simple-guide/ | /articles/category/buddhist-wisdom/ | /articles/category/meditation/ | /articles/category/mindfulness/ | /articles/category/practice/ | /articles/compassion-as-a-daily-discipline/,High reuse
you do not need to,38,13.4,article | hub/utility | daily reflection | homepage | learn detail | meditation detail | quote story | quote category,/articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhist-gratitude-practice/ | /articles/buddhist-teachings-on-forgiveness/ | /articles/buddhist-wisdom-for-overthinking/ | /articles/dhammapada-reflection-trained-mind/ | /articles/dhammapada-reflection-what-we-think/ | /articles/dhammapada-verse-1-meaning/ | /articles/how-to-let-go-of-attachment-in-buddhism/,Material reuse
begin by,11,3.9,article | learn detail | meditation detail | hub/utility | quote category | quote story,/articles/buddhist-teachings-on-forgiveness/ | /articles/compassion-as-a-daily-discipline/ | /articles/eightfold-path-explained/ | /articles/five-precepts-in-daily-life/ | /articles/loving-kindness-meditation-beginners/ | /articles/loving-kindness-meditation-guide/ | /learn/buddhism-101/right-livelihood-buddhism/ | /meditation/when-meditation-feels-hard/,Contextual
at the end of the day,5,1.8,article | learn detail,/articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-gratitude-practice/ | /articles/four-noble-truths-explained-simply/ | /articles/what-is-karma-in-buddhism/ | /learn/buddhism-101/right-livelihood-buddhism/,Contextual
the goal is not,3,1.1,article | learn detail,/articles/buddhist-wisdom-for-overthinking/ | /articles/how-to-meditate-for-beginners/ | /learn/buddhism-101/dependent-origination-explained/,Contextual
a practical example,2,0.7,article,/articles/loving-kindness-meditation-beginners/ | /articles/visiting-a-buddhist-temple-respectfully/,Contextual
practice today,112,39.6,article | hub/utility | daily reflection | homepage | learn detail | learn hub | meditation detail | quote story,/articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-approach-to-anger/ | /articles/buddhist-gratitude-practice/ | /articles/buddhist-teachings-on-forgiveness/ | /articles/buddhist-teachings-on-impermanence/ | /articles/buddhist-wisdom-for-overthinking/ | /articles/compassion-as-a-daily-discipline/,High reuse
reflection question,196,69.3,article | learn detail | meditation detail | quote story,/articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-approach-to-anger/ | /articles/buddhist-gratitude-practice/ | /articles/buddhist-teachings-on-forgiveness/ | /articles/buddhist-teachings-on-impermanence/ | /articles/buddhist-wisdom-for-overthinking/ | /articles/compassion-as-a-daily-discipline/,High reuse
daily-life example,143,50.5,article | daily reflection | hub/utility | learn hub | quote story,/articles/buddhist-teachings-on-impermanence/ | /articles/eightfold-path-explained-daily-life/ | /articles/four-noble-truths-explained/ | /articles/impermanence-in-buddhism-letting-go/ | /articles/impermanence-in-buddhism/ | /articles/letting-go-without-giving-up/ | /articles/loving-kindness-meditation-beginners/ | /daily-reflections/anger-as-a-signal/,High reuse
source note,212,74.9,trust/policy | article | article category | learn detail | learn hub | other | quote story,/about/ | /articles/beginning-a-daily-mindfulness-practice/ | /articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-approach-to-anger/ | /articles/buddhist-gratitude-practice/ | /articles/buddhist-teachings-on-forgiveness/ | /articles/buddhist-teachings-on-impermanence/ | /articles/buddhist-wisdom-for-overthinking/,High reuse
continue learning,81,28.6,article | hub/utility | learn detail | learn hub,/articles/buddhism-for-beginners-simple-guide/ | /articles/buddhist-teachings-on-impermanence/ | /articles/dhamma-vs-dharma/ | /articles/dhammapada-reflection-trained-mind/ | /articles/dhammapada-reflection-what-we-think/ | /articles/dhammapada-verse-1-meaning/ | /articles/eightfold-path-explained-daily-life/ | /articles/eightfold-path-explained/,High reuse
a quiet reflection,103,36.4,quote story,/quotes/awareness/acceptance-before-next-step/ | /quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | /quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | /quotes/awareness/feelings-without-the-wheel/ | /quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/ | /quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ | /quotes/awareness/one-breath-before-anger-replies/ | /quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,High reuse
