URL,Transition hits,Risk,Action
https://echobuddha.com/404.html,0,0,KEEP
https://echobuddha.com/about/,0,0,KEEP
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,12,3,KEEP
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,8,2,KEEP
https://echobuddha.com/articles/buddhist-approach-to-anger/,15,3,KEEP
https://echobuddha.com/articles/buddhist-gratitude-practice/,4,1,KEEP
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,7,2,KEEP
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,7,2,KEEP
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,7,2,KEEP
https://echobuddha.com/articles/category/buddhist-wisdom/,3,1,KEEP
https://echobuddha.com/articles/category/meditation/,0,0,KEEP
https://echobuddha.com/articles/category/mindfulness/,1,1,KEEP
https://echobuddha.com/articles/category/practice/,2,2,KEEP
https://echobuddha.com/articles/category/reflection/,2,2,KEEP
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,8,2,KEEP
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,7,2,KEEP
https://echobuddha.com/articles/compassion-with-boundaries/,0,0,KEEP
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,6,2,KEEP
https://echobuddha.com/articles/dhamma-vs-dharma/,0,0,KEEP
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,9,2,KEEP
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,8,2,KEEP
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,1,0,KEEP
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,13,3,KEEP
https://echobuddha.com/articles/eightfold-path-explained/,6,1,KEEP
https://echobuddha.com/articles/equanimity-in-buddhism/,1,0,KEEP
https://echobuddha.com/articles/first-week-buddhist-practice/,4,2,KEEP
https://echobuddha.com/articles/five-precepts-in-daily-life/,6,1,KEEP
https://echobuddha.com/articles/four-noble-truths-explained-simply/,7,2,KEEP
https://echobuddha.com/articles/four-noble-truths-explained/,5,1,KEEP
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,7,2,KEEP
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,12,3,KEEP
https://echobuddha.com/articles/how-to-meditate-for-beginners/,10,2,KEEP
https://echobuddha.com/articles/how-to-practice-non-attachment/,12,3,KEEP
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,3,1,KEEP
https://echobuddha.com/articles/impermanence-in-buddhism/,7,2,KEEP
https://echobuddha.com/articles/,6,0,KEEP
https://echobuddha.com/articles/letting-go-without-giving-up/,8,2,KEEP
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,11,3,KEEP
https://echobuddha.com/articles/loving-kindness-meditation-guide/,6,1,KEEP
https://echobuddha.com/articles/metta-meditation-script/,9,2,KEEP
https://echobuddha.com/articles/mindful-email-and-texting/,11,5,KEEP
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,15,4,KEEP
https://echobuddha.com/articles/mindfulness-for-better-sleep/,6,2,KEEP
https://echobuddha.com/articles/mindfulness-morning-routine/,7,2,KEEP
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,11,3,KEEP
https://echobuddha.com/articles/mindfulness-vs-meditation/,11,2,KEEP
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,8,2,KEEP
https://echobuddha.com/articles/non-attachment-in-relationships/,1,0,KEEP
https://echobuddha.com/articles/right-livelihood-modern-life/,0,0,KEEP
https://echobuddha.com/articles/right-speech-buddhism/,13,3,KEEP
https://echobuddha.com/articles/right-speech-examples/,6,3,KEEP
https://echobuddha.com/articles/three-poisons-buddhism-explained/,3,1,KEEP
https://echobuddha.com/articles/three-ways-to-practice-patience/,10,3,KEEP
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,0,0,KEEP
https://echobuddha.com/articles/walking-meditation-step-by-step/,16,4,KEEP
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,12,3,KEEP
https://echobuddha.com/articles/what-is-karma-in-buddhism/,9,2,KEEP
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,3,1,KEEP
https://echobuddha.com/authors/echo-buddha-editorial/,0,0,KEEP
https://echobuddha.com/buddhist-sources-and-citations/,0,0,KEEP
https://echobuddha.com/contact/,1,0,KEEP
https://echobuddha.com/corrections/,0,0,KEEP
https://echobuddha.com/daily-reflections/anger-as-a-signal/,1,1,KEEP
https://echobuddha.com/daily-reflections/begin-again-without-shame/,1,1,KEEP
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,1,1,KEEP
https://echobuddha.com/daily-reflections/enough-for-this-moment/,1,1,KEEP
https://echobuddha.com/daily-reflections/evening-release/,1,1,KEEP
https://echobuddha.com/daily-reflections/family-patience/,1,1,KEEP
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,2,2,KEEP
https://echobuddha.com/daily-reflections/gratitude-for-change/,2,2,KEEP
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,1,1,KEEP
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,3,3,KEEP
https://echobuddha.com/daily-reflections/,13,0,KEEP
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,1,1,KEEP
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,4,4,KEEP
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,2,2,KEEP
https://echobuddha.com/daily-reflections/listen-before-answering/,1,1,KEEP
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,1,1,KEEP
https://echobuddha.com/daily-reflections/mindful-work/,1,1,KEEP
https://echobuddha.com/daily-reflections/morning-intention/,1,1,KEEP
https://echobuddha.com/daily-reflections/notice-before-fixing/,2,2,KEEP
https://echobuddha.com/daily-reflections/one-honest-breath/,4,4,KEEP
https://echobuddha.com/daily-reflections/one-step-on-the-path/,1,1,KEEP
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,3,3,KEEP
https://echobuddha.com/daily-reflections/rest-without-escape/,3,3,KEEP
https://echobuddha.com/daily-reflections/see-the-conditions/,2,2,KEEP
https://echobuddha.com/daily-reflections/simple-goodwill/,1,1,KEEP
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,1,1,KEEP
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,1,1,KEEP
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,1,1,KEEP
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,1,1,KEEP
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,3,3,KEEP
https://echobuddha.com/daily-reflections/today/,12,0,KEEP
https://echobuddha.com/daily-reflections/walking-as-practice/,2,2,KEEP
https://echobuddha.com/disclaimer/,0,0,KEEP
https://echobuddha.com/editorial-policy/,0,0,KEEP
https://echobuddha.com/how-echo-buddha-creates-content/,0,0,KEEP
https://echobuddha.com/,6,0,KEEP
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,4,4,KEEP
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,5,2,KEEP
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,4,1,KEEP
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,0,0,KEEP
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,5,1,KEEP
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,0,0,KEEP
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,1,1,KEEP
https://echobuddha.com/learn/buddhism-101/,0,0,KEEP
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,2,2,KEEP
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,4,1,KEEP
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,2,2,KEEP
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,1,1,KEEP
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,4,3,KEEP
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,11,3,KEEP
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,0,0,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,0,0,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,2,1,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,1,0,KEEP
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,5,4,KEEP
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,5,3,KEEP
https://echobuddha.com/learn/buddhism-for-beginners/,4,2,KEEP
https://echobuddha.com/learn/buddhist-dictionary/anatta/,2,2,KEEP
https://echobuddha.com/learn/buddhist-dictionary/anicca/,2,2,KEEP
