URL,first-screen main-content visibility,competing UI,hero/header height,metadata burden,mobile result,desktop result,remediation
https://echobuddha.com/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 208px; no horizontal overflow,PASS: H1 top 190px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/articles/dhamma-vs-dharma/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Breadcrumb + category + concise metadata; readable,PASS: H1 top 305px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Breadcrumb + category + concise metadata; readable,PASS: H1 top 305px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/articles/right-speech-buddhism/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Breadcrumb + category + concise metadata; readable,PASS: H1 top 305px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/quotes/letting-go/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 283px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/start-here/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 193px; no horizontal overflow,PASS: H1 top 206px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 283px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/learn/buddhist-dictionary/anicca/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 283px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/learn/sutta-for-daily-life/how-to-read-a-buddhist-sutta/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 305px; no horizontal overflow,PASS: H1 top 259px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/about/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 193px; no horizontal overflow,PASS: H1 top 206px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/corrections/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 234px; no horizontal overflow,PASS: H1 top 247px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/contact/,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 193px; no horizontal overflow,PASS: H1 top 206px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
https://echobuddha.com/404.html,PASS: H1 begins within first viewport,Sticky header only; no ad runtime or intrusive prompt,320px header bottom 108px; 1440px header 73px,Proportionate to page role,PASS: H1 top 193px; no horizontal overflow,PASS: H1 top 206px; no horizontal overflow,Targeted breadcrumb/header/anchor hardening only
