URL,Baseline safety,Stop/adapt preserved,Professional support preserved,Non-clinical framing preserved,Relationship boundaries preserved,Phase 6 weakened safety?,Validation
https://echobuddha.com/articles/category/meditation/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation-safety/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/10-minute-meditation-practice/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/5-minute-meditation-practice/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/breathing-meditation/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/mindfulness-in-daily-life/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/walking-meditation/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/few-quiet-minutes/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/meditation-is-returning/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/one-honest-breath/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/letting-go/soften-around-stress/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/daily-reflections/family-patience/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
https://echobuddha.com/quotes/patience/family-kindness-and-patience/,NO_CRITICAL_ISSUE,Yes / where applicable,Yes / where applicable,Yes,Yes / where applicable,No,PASS
