URL,protection_tier,primary_topic,primary_user_intent,current_title,current_h1,candidate_value_headings_not_query_attributed,high_performing_sections,cited_teaching_signal,definitions_examples_faq_signal,key_internal_links,preserve_contract,confidence
https://echobuddha.com/about/,SEO_P1_HIGH,Page-specific / unclustered,practical guide,About Echo Buddha | Echo Buddha,About Echo Buddha,Purpose | Educational and Reflective Content | Editorial Approach | Publisher and Authorship | Transparency and Contact,NOT_IDENTIFIED: query×page/section evidence unavailable,true,12 paragraphs; 6 headings; FAQ schema false,337 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,SEO_P1_HIGH,Page-specific / unclustered,practical guide,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,Key Takeaways | Buddhist Wisdom for Overthinking Starts With Noticing | Why the Mind Repeats Itself | Busy Mind to Calm Mind Practice Flow | Overthinking Response | Mindful Response | Return to the Body | Let Thoughts Pass Without Building a Home for Them | Common Misunderstandings About Calming the Mind | How to Practice This in Daily Life | A Gentle Reflection for a Busy Mind | A Note About Wellbeing,NOT_IDENTIFIED: query×page/section evidence unavailable,true,37 paragraphs; 26 headings; FAQ schema true,45 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,SEO_P1_HIGH,Compassion,practical guide,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner's Guide,Key Takeaways | What Compassion Means | Compassion Begins With Seeing | Self-Compassion Is Not Self-Indulgence | Compassion in Difficult Conversations | Common Misunderstandings | Practice Exercise: One Compassionate Wish | Original Reflection | Compassion With Boundaries | Compassion for Difficult People | Compassion as a Daily Discipline | Practice Today,NOT_IDENTIFIED: query×page/section evidence unavailable,true,42 paragraphs; 26 headings; FAQ schema true,7 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/compassion-with-boundaries/,SEO_P1_HIGH,Compassion,practical guide,PRESERVE_CURRENT_TITLE_PENDING_PHASE_4_REVIEW,PRESERVE_CURRENT_H1_PENDING_PHASE_4_REVIEW,NOT_REASSESSED_IN_PHASE_3_COMPLETION,QUERY×PAGE_IDENTIFIES_URL_NOT_SECTION,PRESERVE_EXISTING_CITATIONS,PRESERVE_USER_VALUE_ELEMENTS,PRESERVE_RELEVANT_LINKS,"No URL, intent, title, H1, high-value section, citation, or internal-link removal without Phase 4 evidence review",HIGH_FOR_URL_PROTECTION; SECTION_ATTRIBUTION_UNAVAILABLE
https://echobuddha.com/articles/dhamma-vs-dharma/,SEO_P1_HIGH,Dhamma / Dharma,comparison,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,Key Takeaways | The Short Difference | Why Echo Buddha Usually Says Dhamma | Dhamma Is More Than a Word | A Beginner Reading Rule | Practice Today | Reflection Question | Related Buddhist Terms | Frequently Asked Questions | Further Reading / Source Note | Selected References | Continue Learning,NOT_IDENTIFIED: query×page/section evidence unavailable,true,28 paragraphs; 21 headings; FAQ schema true,55 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,SEO_P1_HIGH,Dhamma / Dharma,source study,PRESERVE_CURRENT_TITLE_PENDING_PHASE_4_REVIEW,PRESERVE_CURRENT_H1_PENDING_PHASE_4_REVIEW,NOT_REASSESSED_IN_PHASE_3_COMPLETION,QUERY×PAGE_IDENTIFIES_URL_NOT_SECTION,PRESERVE_EXISTING_CITATIONS,PRESERVE_USER_VALUE_ELEMENTS,PRESERVE_RELEVANT_LINKS,"No URL, intent, title, H1, high-value section, citation, or internal-link removal without Phase 4 evidence review",HIGH_FOR_URL_PROTECTION; SECTION_ATTRIBUTION_UNAVAILABLE
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,SEO_P1_HIGH,Dhamma / Dharma,comparison,PRESERVE_CURRENT_TITLE_PENDING_PHASE_4_REVIEW,PRESERVE_CURRENT_H1_PENDING_PHASE_4_REVIEW,NOT_REASSESSED_IN_PHASE_3_COMPLETION,QUERY×PAGE_IDENTIFIES_URL_NOT_SECTION,PRESERVE_EXISTING_CITATIONS,PRESERVE_USER_VALUE_ELEMENTS,PRESERVE_RELEVANT_LINKS,"No URL, intent, title, H1, high-value section, citation, or internal-link removal without Phase 4 evidence review",HIGH_FOR_URL_PROTECTION; SECTION_ATTRIBUTION_UNAVAILABLE
https://echobuddha.com/articles/five-precepts-in-daily-life/,SEO_P1_HIGH,Buddhist Ethics,practical guide,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,The Five Precepts in Daily Life: A Beginner's Guide to Buddhist Ethics,"Key Takeaways | The Traditional List and Its Source | Ethics as Training, Not Superiority | The First Precept Protects Life | The Second Precept Protects Trust Around Possessions | The Third Precept Protects Consent and Responsibility | The Fourth Precept Protects Speech | The Fifth Precept Protects Heedfulness | A Weekly Precept Reflection | Living the Precepts Without Weaponizing Them | Practice Today | Reflection Question",NOT_IDENTIFIED: query×page/section evidence unavailable,true,53 paragraphs; 27 headings; FAQ schema true,4 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,SEO_P1_HIGH,Attachment and Letting Go,practical guide,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism,"Key Takeaways | What Buddhist Attachment Means | Why Clinging Creates Suffering | Attachment to Letting Go | Attachment | Letting Go | Letting Go Is Not Giving Up | Common Misunderstandings About Buddhist Attachment | How to Practice This in Daily Life | Patience, Compassion, and Impermanence | A Gentle Reflection on Letting Go | Practice Today",NOT_IDENTIFIED: query×page/section evidence unavailable,true,39 paragraphs; 27 headings; FAQ schema true,21 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
https://echobuddha.com/articles/,SEO_P1_HIGH,Page-specific / unclustered,navigation/reference,Articles and Blog | Echo Buddha,Articles and Blog,"Article Topics | All Articles | Mindful Email and Texting | Compassion With Boundaries | Dhamma vs Dharma: What Is the Difference? | Visiting a Buddhist Temple Respectfully | First Week Buddhist Practice for Beginners | Non-Attachment in Relationships | Right Speech Examples for Everyday Life | Dhammapada Verse 1 Meaning and Translation Caution | The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained | Equanimity in Buddhism: Calm Without Indifference",NOT_IDENTIFIED: query×page/section evidence unavailable,false,105 paragraphs; 55 headings; FAQ schema false,337 inbound unique source pages,"Preserve URL where practical, primary intent, useful topic coverage, canonical clarity, and justified internal prominence; individual weak sentences may be improved.","MEDIUM: headings are candidates, not proven Search-driving sections"
