URL,Page family,Repository status,Production baseline status,Expected status,Canonical,Index state,Parity,Evidence
/,Homepage,built,reachable in Phase 7 parity,200,https://echobuddha.com/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/404.html,Error,404 document,404 expected,404,,noindex,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/about/,Trust/policy,built,reachable in Phase 7 parity,200,https://echobuddha.com/about/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/,Article hub,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/beginning-a-daily-mindfulness-practice/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/buddhism-for-beginners-simple-guide/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/buddhist-approach-to-anger/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/buddhist-approach-to-anger/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/buddhist-gratitude-practice/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/buddhist-gratitude-practice/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/buddhist-teachings-on-forgiveness/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/buddhist-teachings-on-impermanence/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/buddhist-wisdom-for-overthinking/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/category/buddhist-wisdom/,Article category,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/category/buddhist-wisdom/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/category/meditation/,Article category,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/category/meditation/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/category/mindfulness/,Article category,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/category/mindfulness/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/category/practice/,Article category,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/category/practice/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/category/reflection/,Article category,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/category/reflection/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/compassion-as-a-daily-discipline/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/compassion-in-buddhism-beginner-guide/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
/articles/compassion-with-boundaries/,Article detail,built,reachable in Phase 7 parity,200,https://echobuddha.com/articles/compassion-with-boundaries/,indexable,PASS LIVE PHASE 8,Phase 8 post-deploy full parity
