Domain,Category,Why suitable,Blanket endorsement?,Authority spam risk,Human review,Status
84000.co,Institution/context,Institutional or official context,No,No,Completed for role; individual claim fit reviewed separately,PASS
amaravati.org,Institution/context,Institutional or official context,No,No,Completed for role; individual claim fit reviewed separately,PASS
bswa.org,Institution/context,Institutional or official context,No,No,Completed for role; individual claim fit reviewed separately,PASS
palitextsociety.org,Institution/context,Institutional or official context,No,No,Completed for role; individual claim fit reviewed separately,PASS
suttacentral.net,Canonical text / translation archive,Direct text/translation context,No,No,Completed for role; individual claim fit reviewed separately,PASS
www.accesstoinsight.org,Canonical text / translation archive,Direct text/translation context,No,No,Completed for role; individual claim fit reviewed separately,PASS
www.bps.lk,Institution/context,Institutional or official context,No,No,Completed for role; individual claim fit reviewed separately,PASS
www.bpu.ac.lk,Institution/context,Institutional or official context,No,No,Completed for role; individual claim fit reviewed separately,PASS
www.dhammatalks.org,Canonical text / translation archive,Direct text/translation context,No,No,Completed for role; individual claim fit reviewed separately,PASS
www.nccih.nih.gov,Public health context,Authority suited to health/safety context,No,No,Completed for role; individual claim fit reviewed separately,PASS
www.nhs.uk,Public health context,Authority suited to health/safety context,No,No,Completed for role; individual claim fit reviewed separately,PASS
