Route,URL,Page family,Historical route present?,Current route present?,Route drift,Current title,Current H1,Evidence
/404.html,https://echobuddha.com/404.html,error utility,Yes,Yes,NONE,Page Not Found | Echo Buddha,Page Not Found,Current dist build plus forensic a1cd457 isolated dist build
/about/,https://echobuddha.com/about/,trust/policy,Yes,Yes,NONE,About Echo Buddha | Echo Buddha,About Echo Buddha,Current dist build plus forensic a1cd457 isolated dist build
/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,articles,Yes,Yes,NONE,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,Current dist build plus forensic a1cd457 isolated dist build
/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,articles,Yes,Yes,NONE,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,Current dist build plus forensic a1cd457 isolated dist build
/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,articles,Yes,Yes,NONE,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",Current dist build plus forensic a1cd457 isolated dist build
/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,articles,Yes,Yes,NONE,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,Current dist build plus forensic a1cd457 isolated dist build
/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,articles,Yes,Yes,NONE,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,Current dist build plus forensic a1cd457 isolated dist build
/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,articles,Yes,Yes,NONE,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,Current dist build plus forensic a1cd457 isolated dist build
/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,articles,Yes,Yes,NONE,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,Current dist build plus forensic a1cd457 isolated dist build
/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,articles,Yes,Yes,NONE,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,Current dist build plus forensic a1cd457 isolated dist build
/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,articles,Yes,Yes,NONE,Meditation Articles | Echo Buddha,Meditation Articles,Current dist build plus forensic a1cd457 isolated dist build
/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,articles,Yes,Yes,NONE,Mindfulness Articles | Echo Buddha,Mindfulness Articles,Current dist build plus forensic a1cd457 isolated dist build
/articles/category/practice/,https://echobuddha.com/articles/category/practice/,articles,Yes,Yes,NONE,Practice Articles | Echo Buddha,Practice Articles,Current dist build plus forensic a1cd457 isolated dist build
/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,articles,Yes,Yes,NONE,Reflection Articles | Echo Buddha,Reflection Articles,Current dist build plus forensic a1cd457 isolated dist build
/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,articles,Yes,Yes,NONE,Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Discipline,Current dist build plus forensic a1cd457 isolated dist build
/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,articles,Yes,Yes,NONE,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner's Guide,Current dist build plus forensic a1cd457 isolated dist build
/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,articles,Yes,Yes,NONE,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries,Current dist build plus forensic a1cd457 isolated dist build
/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,articles,Yes,Yes,NONE,Create a Peaceful Meditation Corner | Echo Buddha,Creating a Peaceful Corner at Home,Current dist build plus forensic a1cd457 isolated dist build
/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,articles,Yes,Yes,NONE,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,Current dist build plus forensic a1cd457 isolated dist build
/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,articles,Yes,Yes,NONE,Dhammapada Reflection on a Trained Mind and Peace | Echo Buddha,Dhammapada Reflection: A Trained Mind Brings Peace,Current dist build plus forensic a1cd457 isolated dist build
/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,articles,Yes,Yes,NONE,"Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada Reflection: What We Think, We Become",Current dist build plus forensic a1cd457 isolated dist build
/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,articles,Yes,Yes,NONE,Dhammapada Verse 1 Meaning and Translation Caution | Echo Buddha,Dhammapada Verse 1 Meaning and Translation Caution,Current dist build plus forensic a1cd457 isolated dist build
