sourceId,pageUrl,claimOrTopicSupported,sourceTitle,sourceAuthor,translator,publicationOrInstitution,sourceType,buddhistTraditionOrTextualContext,canonicalReference,url,copyrightOrLicenseNote,accessDate,verificationStatus,reviewerNote
source:articles:beginning-a-daily-mindfulness-practice,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Buddhist educational or reflective explanation,Repository source note; external review pending where claims require it,Echo Buddha Editorial,Not applicable or pending,Echo Buddha,Original reflection requiring source review for factual claims,Buddhist textual or doctrinal context,See visible page source note or external review queue,,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-original-context,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:buddhism-for-beginners-simple-guide,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Not applicable or pending,suttacentral.net; www.dhammatalks.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://suttacentral.net/sn56.11/en/sujato; https://www.dhammatalks.org/suttas/SN/SN45_8.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:buddhist-approach-to-anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:buddhist-gratitude-practice,https://echobuddha.com/articles/buddhist-gratitude-practice/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Not applicable or pending,www.dhammatalks.org; www.dhammatalks.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html; https://www.dhammatalks.org/suttas/AN/AN4_28.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:buddhist-teachings-on-forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:buddhist-teachings-on-impermanence,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:buddhist-wisdom-for-overthinking,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Buddhist educational or reflective explanation,Repository source note; external review pending where claims require it,Echo Buddha Editorial,Not applicable or pending,Echo Buddha,Original reflection requiring source review for factual claims,Buddhist textual or doctrinal context,See visible page source note or external review queue,,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-original-context,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:compassion-as-a-daily-discipline,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:compassion-in-buddhism-beginner-guide,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:articles:compassion-with-boundaries,https://echobuddha.com/articles/compassion-with-boundaries/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
