URL,Topic cluster,Role,Primary owner,Is primary owner?,Unique information gain,Does not own,Cannibalization risk,Future action,Human review,Evidence
https://echobuddha.com/daily-reflections/anger-as-a-signal/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/begin-again-without-shame/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 307 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 74.5%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/enough-for-this-moment/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/evening-release/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/family-patience/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/gratitude-for-change/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /daily-reflections/impermanence-softens-clinging/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 74.3%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Daily Reflections,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,No,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,HIGH,NOINDEX_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-for-change/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
