quote_id,quote,origin type,displayed attribution,source reference,verification state,risk,required correction,final state
quote_0206fee6cf946388,Acceptance names the moment clearly before choosing the next kind step.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_6c2b84b0281fb989,Anger asks for speed; awareness asks for one more breath.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_48589b9bdf609245,Awareness does not remove the storm; it keeps you from becoming every cloud.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_9cd65d0c2ed6d4ba,Clear seeing begins with the courage to stop looking away.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_e187e7ae2c68a7d9,"Feelings are honest about their presence, not always about their conclusions.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_38abd185f531d0b3,Emotional balance lets feelings speak without handing them the wheel.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_e917e01d71b95002,Look beneath the reaction and you may find a need asking to be understood.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_74fa515452d707a9,"Name the feeling gently, and it may stop speaking for your whole life.",ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_ef2c54e3174a5e7e,Notice the habit before trying to become someone without it.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
quote_7b21afa092b755c0,Anger becomes wiser when one breath stands between feeling and reply.,ECHOBUDDHA_ORIGINAL,Original Echo Buddha quote / Echo Buddha Editorial,Echo Buddha repository editorial record,INTERNAL_CORPUS_CLASSIFICATION_EXTERNAL_ORIGINALITY_NOT_VERIFIABLE,LOW_WITH_STATED_LIMITATION,NONE,ORIGINAL_LABEL_VISIBLE; NOT_BUDDHA_OR_SCRIPTURE_ATTRIBUTION
