page,claim,source,source_layer,confidence,allowed_wording,prohibited_overclaim
Q3,"Devala deliberately constructs a sand stupa, adorns it, and venerates Buddhas through it.","Puḷinuppādakatthera Apadāna (Tha Ap 489), SuttaCentral",Theravāda canonical hagiography,High,"The account illustrates intentional commemorative devotion and the beneficial results the text associates with it.","Do not call it an early discourse or claim that it formally defines every sand stupa as Uddesika Cetiya."
Q3,"Nārada deliberately constructs and venerates a sand stupa for Buddhas.","Puḷinathūpiya Therāpadāna (Tha Ap 500), SuttaCentral",Theravāda canonical hagiography,High,"Use the stable text identifier and note that edition numbering may differ.","Do not copy an uncertain secondary rendering or claim a formal Uddesika definition."
Q3,"Later Theravāda explanation distinguishes bodily-relic, use-associated, and memorial or representational shrines.","Kāliṅgabodhi Jātaka (Ja 479), Ancient Buddhist Texts",Theravāda narrative/commentary,High,"Present the threefold framework as later Theravāda narrative or commentary.","Do not present the prose as a verbatim early-discourse definition shared identically by all Buddhist schools."
Q3,"The sand-stupa stories help illustrate a broader logic of commemorative or representational devotion.","Editorial comparison of the two Apadāna accounts with Ja 479",Echo Buddha editorial explanation,Moderate,"Label the connection as an interpretive comparison informed by Theravāda memorial traditions.","Do not say the Apadāna explicitly classifies every sand stupa as Uddesika Cetiya."
Q3,"Intention matters but does not automatically make any random object a cetiya.","Echo Buddha synthesis",Echo Buddha editorial explanation,Moderate,"Require deliberate dedication or representational function in the explanation.","Do not claim emotion magically transforms any object into a cetiya."
Q4,"Devotees wanted a focus for offerings while the Buddha was absent; Anāthapiṇḍika raised the issue; Ānanda asked about shrines and proposed a Bodhi tree; the proposal was approved and the tree planted.","Kāliṅgabodhi Jātaka (Ja 479), Ancient Buddhist Texts",Theravāda narrative/commentary,High,"Paraphrase the verified narrative sequence and identify its later textual layer.","Do not present the prose as an early-discourse transcript."
Q4,"Ja 479 records neither a statue proposal nor a rejection of Buddha images.","Kāliṅgabodhi Jātaka (Ja 479), Ancient Buddhist Texts",Theravāda narrative/commentary,High,"State only what the narrative records and does not record.","Do not put a hypothetical approval of a statue into the Buddha's mouth."
Q4,"A surviving seated Gandhāran Buddha is dated to the first to mid-second century CE.","Seated Buddha from Gandhāra, Metropolitan Museum of Art, accession 1987.218.1",Museum / art history,High,"Use as limited chronology for securely attested human-form imagery.","Do not infer a universal earlier image prohibition or Ānanda's undocumented motive."
Q4,"Human-form Buddha traditions developed in Gandhāra and contemporaneously in Mathurā.","Buddhism and Buddhist Art, Metropolitan Museum of Art",Museum / art history,High,"Use as broad art-historical context.","Do not project a fully developed later image culture into the narrative setting."
Q4,"Silence about a statue is not by itself a prohibition against later Buddha images.","Echo Buddha inference bounded by Ja 479",Echo Buddha editorial explanation,High,"Frame as a logical limit on arguments from silence.","Do not claim the text affirmatively authorizes every later image practice."
