URL,Owner link status,Support links status,Issue,Recommended action
/articles/dhamma-vs-dharma/,Links to Dhamma dictionary owner,Links to Sangha and Dhammapada support pages,Good cluster ownership,Preserve owner link and avoid broad Dhamma rewrite
/articles/visiting-a-buddhist-temple-respectfully/,Links to Sangha owner and dictionary,Links to beginner articles,Good cluster ownership,Add practical local-variation wording without competing with Sangha article
/articles/first-week-buddhist-practice/,Links to Buddhism for Beginners owner,Links to Four Truths Eightfold Path daily reflections,Good practical route,Preserve first-week support role
/articles/non-attachment-in-relationships/,Links to attachment owner,Links to non-attachment/letting-go siblings,Good but relationship boundary safety should be stronger,Preserve owner link and avoid broad attachment duplication
/articles/right-speech-examples/,Links to Right Speech owner,Links to anger/patience support,Good,Preserve scenario-support role
/articles/dhammapada-verse-1-meaning/,Links to Dhammapada hub and attribution policy,Links to source/citations,Good source-sensitive route,Preserve; do not quote long translations
/learn/buddhism-101/middle-way-explained-for-beginners/,Links to beginner/Four Truths/Eightfold hubs,Good,Preserve
/learn/buddhism-101/threefold-training-sila-samadhi-panna/,Links to Eightfold Path Five Precepts Meditation,Good,Preserve
/learn/buddhism-101/five-hindrances-in-buddhism/,Links to meditation difficulty/safety,Good,Preserve and clarify doctrine vs diagnosis
/learn/buddhism-101/four-brahmaviharas/,Links to metta compassion boundary pages,Good,Preserve
/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Links to Four Truths Middle Way Dukkha,Good source-study structure,Preserve
/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Links to Eightfold Path Threefold Training Right Speech,Good source-study structure,Preserve
/learn/buddhist-dictionary/sutta/,Links to Sutta hub Pali Canon source standards,Good,Add direct source support
/learn/buddhist-dictionary/pali-canon/,Links to Sutta and source standards,Good,Add direct source support
/meditation/10-minute-meditation-practice/,Links to 5-minute posture breathing,Good,Preserve safety and meditation hub pathway
/meditation/meditation-posture-for-beginners/,Links to meditation beginner 10-minute safety,Good,Preserve
/meditation/when-meditation-feels-hard/,Links to safety Five Hindrances 5-minute,Good,Preserve and distinguish doctrine from diagnosis
/articles/mindful-email-and-texting/,Links to Right Speech owner and examples,Potential overlap with examples page,Keep digital scenarios distinct
/articles/compassion-with-boundaries/,Links to compassion/Brahmaviharas owners,Potential overlap with non-attachment and forgiveness,Strengthen accountability/refusal role
