cluster ID,affected family,affected URLs,repeated fragment,fragment type,exact/near match,prevalence,whether legitimate UI,whether substantive,Search-equity sensitivity,action
RP-001,ARTICLE,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/ | https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/articles/buddhist-approach-to-anger/ | https://echobuddha.com/articles/buddhist-gratitude-practice/ | https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/ | https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/ | https://echobuddha.com/articles/compassion-as-a-daily-discipline/ | https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ | https://echobuddha.com/articles/compassion-with-boundaries/ | https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/ | https://echobuddha.com/articles/dhamma-vs-dharma/ | https://echobuddha.com/articles/dhammapada-reflection-trained-mind/ | https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ | https://echobuddha.com/articles/dhammapada-verse-1-meaning/ | https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/articles/equanimity-in-buddhism/ | https://echobuddha.com/articles/first-week-buddhist-practice/ | https://echobuddha.com/articles/five-precepts-in-daily-life/ | https://echobuddha.com/articles/four-noble-truths-explained-simply/ | https://echobuddha.com/articles/four-noble-truths-explained/ | https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/ | https://echobuddha.com/articles/how-to-meditate-for-anxiety/ | https://echobuddha.com/articles/how-to-meditate-for-beginners/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/impermanence-in-buddhism/ | https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/articles/loving-kindness-meditation-guide/ | https://echobuddha.com/articles/metta-meditation-script/ | https://echobuddha.com/articles/mindful-email-and-texting/ | https://echobuddha.com/articles/mindful-listening-in-everyday-life/ | https://echobuddha.com/articles/mindfulness-for-better-sleep/ | https://echobuddha.com/articles/mindfulness-morning-routine/ | https://echobuddha.com/articles/mindfulness-of-breathing-guide/ | https://echobuddha.com/articles/mindfulness-vs-meditation/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/ | https://echobuddha.com/articles/non-attachment-in-relationships/ | https://echobuddha.com/articles/right-livelihood-modern-life/ | https://echobuddha.com/articles/right-speech-buddhism/ | https://echobuddha.com/articles/right-speech-examples/ | https://echobuddha.com/articles/three-poisons-buddhism-explained/ | https://echobuddha.com/articles/three-ways-to-practice-patience/ | https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/ | https://echobuddha.com/articles/walking-meditation-step-by-step/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/ | https://echobuddha.com/articles/what-is-karma-in-buddhism/ | https://echobuddha.com/articles/what-is-sangha-buddhist-community/,"Accessible Buddhist-inspired wisdom, mindfulness, reflection, and meditation education for general readers.",PARAGRAPH,EXACT,48,NO,YES,PROTECTED_PAGE_PRESENT,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-002,ARTICLE,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,"This article is an original Echo Buddha beginner explanation of Buddhism as a living tradition of wisdom, ethics, meditation, and compassion.",PARAGRAPH,EXACT,2,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-003,ARTICLE,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,"For a broader learning path, continue with the main Buddhism beginner guide .",PARAGRAPH,EXACT,2,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-004,ARTICLE,https://echobuddha.com/articles/buddhist-approach-to-anger/ | https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/ | https://echobuddha.com/articles/how-to-meditate-for-anxiety/ | https://echobuddha.com/articles/how-to-meditate-for-beginners/ | https://echobuddha.com/articles/impermanence-in-buddhism/ | https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/articles/loving-kindness-meditation-guide/ | https://echobuddha.com/articles/metta-meditation-script/ | https://echobuddha.com/articles/mindfulness-for-better-sleep/ | https://echobuddha.com/articles/mindfulness-of-breathing-guide/ | https://echobuddha.com/articles/mindfulness-vs-meditation/,"This article is educational and does not provide medical or mental health treatment. Meditation and mindfulness experiences vary. If a practice feels uncomfortable, open your eyes, shorten it, feel your feet or hands, change anchors, or stop. Seek qualified professional support for persistent or serious symptoms.",PARAGRAPH,EXACT,11,NO,YES,PROTECTED_PAGE_PRESENT,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-005,ARTICLE,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/impermanence-in-buddhism/,"This article is original Echo Buddha educational writing on anicca, the Buddhist teaching of impermanence, with daily-life examples for general readers.",PARAGRAPH,EXACT,3,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-006,ARTICLE,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/impermanence-in-buddhism/,"For a broader learning path, continue with the main impermanence guide .",PARAGRAPH,EXACT,3,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-007,ARTICLE,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/ | https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,"This is an original Echo Buddha reflection inspired by broad Dhammapada themes. It distinguishes source context, paraphrase, translation, and reflection, and is not presented as an exact canonical translation.",PARAGRAPH,EXACT,2,NO,YES,PROTECTED_PAGE_PRESENT,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-008,ARTICLE,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/ | https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ | https://echobuddha.com/articles/dhammapada-verse-1-meaning/,"For a broader learning path, continue with the Dhammapada reflections hub .",PARAGRAPH,EXACT,3,NO,YES,PROTECTED_PAGE_PRESENT,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-009,ARTICLE,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,"This article is an original Echo Buddha explanation of the Noble Eightfold Path as a practical training path in wisdom, ethical conduct, and mental cultivation.",PARAGRAPH,EXACT,3,NO,YES,PROTECTED_PAGE_PRESENT,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-010,ARTICLE,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,"For a broader learning path, continue with the main Noble Eightfold Path guide .",PARAGRAPH,EXACT,3,NO,YES,PROTECTED_PAGE_PRESENT,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
