URL,Topic cluster,Role,Primary owner,Is primary owner?,Unique information gain,Does not own,Cannibalization risk,Future action,Human review,Evidence
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Mindfulness,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,No,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,This page does not own the broad Mindfulness explanation; that belongs to /learn/buddhism-101/what-is-mindfulness/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Impermanence,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,MEDIUM,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Compassion,PRACTICAL_APPLICATION,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,Daily-life examples or a repeatable application tied specifically to “Compassion as a Daily Buddhist Practice”.,This page does not own the broad Compassion explanation; that belongs to /articles/compassion-in-buddhism-beginner-guide/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1220 words; 28 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 40.4%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Compassion,PRIMARY_PILLAR,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,"A narrower explanation, misconception, or example set specific to “Compassion in Buddhism: Beginner Guide and Daily Practice”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1195 words; 26 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 42.0%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/compassion-with-boundaries/,Compassion,SCENARIO_GUIDE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,Worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.,This page does not own the broad Compassion explanation; that belongs to /articles/compassion-in-buddhism-beginner-guide/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/dhamma-vs-dharma/,Dhamma / Dharma,COMPARISON_PAGE,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,No,Direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”.,This page does not own the broad Dhamma / Dharma explanation; that belongs to /learn/buddhist-dictionary/dhamma/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3; role review: COMPARISON_PAGE; owner selection: The dictionary page owns meaning and linguistic context; the article owns the comparison question.
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Impermanence,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,Daily-life examples or a repeatable application tied specifically to “Impermanence in Buddhism and How to Let Go Gently”.,This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,HIGH,CONSOLIDATE_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1286 words; 27 content headings; authored route; nearest /articles/buddhist-teachings-on-impermanence/ combined overlap 43.9%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/impermanence-in-buddhism/,Impermanence,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,"A narrower explanation, misconception, or example set specific to “Impermanence in Buddhism: Accepting Change Peacefully”.",This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,HIGH,CONSOLIDATE_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1441 words; 34 content headings; authored route; nearest /articles/buddhist-teachings-on-impermanence/ combined overlap 42.2%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Loving-Kindness / Metta,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation for Beginners”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,HIGH,CONSOLIDATE_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1359 words; 29 content headings; authored route; nearest /articles/metta-meditation-script/ combined overlap 44.0%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Loving-Kindness / Metta,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation Guide for Beginners”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,MEDIUM,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1316 words; 28 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 42.1%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/metta-meditation-script/,Loving-Kindness / Metta,PRACTICE_GUIDE,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Metta Meditation Script for Loving-Kindness Practice”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1606 words; 30 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 44.0%; external source links 2; role review: PRACTICE_GUIDE; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
