URL,Page family,Practice terms,Practice term count,Practice block,Risk,Action
https://echobuddha.com/404.html,error utility,,0,No,0,KEEP
https://echobuddha.com/about/,trust/policy,,0,No,0,KEEP
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,pause | breath | breathe | notice | name | soften | return,7,Yes,10,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,pause | breath | notice | return | reflect,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,pause | breath | notice | name | return | reflect,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,breath | notice | soften | journal,4,Yes,3,KEEP
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,pause | breath | notice | name | soften | return,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,pause | breath | notice | name | soften,5,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,pause | breath | notice | name | soften | return,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,pause,1,Yes,3,KEEP
https://echobuddha.com/articles/category/meditation/,article category,breath,1,Yes,3,KEEP
https://echobuddha.com/articles/category/mindfulness/,article category,return,1,Yes,3,KEEP
https://echobuddha.com/articles/category/practice/,article category,,0,Yes,3,KEEP
https://echobuddha.com/articles/category/reflection/,article category,,0,Yes,3,KEEP
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,pause | reflect,2,Yes,3,KEEP
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,pause | breath | notice | soften | return,5,Yes,7,KEEP
https://echobuddha.com/articles/compassion-with-boundaries/,article,name,1,Yes,3,KEEP
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,article,pause | breathe | notice | return | journal,5,Yes,7,KEEP
https://echobuddha.com/articles/dhamma-vs-dharma/,article,,0,Yes,3,KEEP
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,article,pause | breath | notice | name | soften | return,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,article,pause | breath | breathe | notice | soften | return,6,Yes,12,REVIEW_FOR_TOPIC_SPECIFICITY
