URL,Topic cluster,Ownership decision,Why current role is problematic,Possible Phase 3 action,Primary owner,Indexability consequence not yet approved,Human review required,Evidence
https://echobuddha.com/about/,Trust / Policy,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,HUMAN_REVIEW,https://echobuddha.com/about/,Yes,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Mindfulness,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Beginner Buddhism,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
https://echobuddha.com/articles/buddhist-approach-to-anger/,Anger,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.
https://echobuddha.com/articles/buddhist-gratitude-practice/,Gratitude,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Forgiveness,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It uniquely distinguishes release from approval and protects boundaries.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Impermanence,KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SUPPORTING_EXPLANATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Anxiety / Overthinking,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,HUMAN_REVIEW,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
https://echobuddha.com/articles/category/buddhist-wisdom/,Article Discovery,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within CATEGORY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/meditation/,Article Discovery,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within CATEGORY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/mindfulness/,Article Discovery,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within CATEGORY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/practice/,Buddhist Practice,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/category/practice/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 317 words; 10 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 20.4%; external source links 0; role review: CATEGORY; owner selection: The category organizes practical articles without owning their underlying Buddhist doctrines.
https://echobuddha.com/articles/category/reflection/,Article Discovery,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within CATEGORY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Compassion,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1220 words; 28 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 40.4%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Compassion,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1195 words; 26 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 42.0%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/compassion-with-boundaries/,Compassion,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Meditation,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/meditation/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1154 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.9%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
https://echobuddha.com/articles/dhamma-vs-dharma/,Dhamma / Dharma,KEEP AS COMPARISON_PAGE SUBJECT TO REQUIRED DIFFERENTIATION,Stay within COMPARISON_PAGE; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3; role review: COMPARISON_PAGE; owner selection: The dictionary page owns meaning and linguistic context; the article owns the comparison question.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Dhammapada,KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SOURCE_STUDY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/dhammapada-reflections/,Yes,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1193 words; 26 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 39.5%; external source links 0; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Dhammapada,KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SOURCE_STUDY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/dhammapada-reflections/,Yes,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1395 words; 29 content headings; authored route; nearest /articles/dhammapada-verse-1-meaning/ combined overlap 46.6%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Dhammapada,KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION,Stay within SOURCE_STUDY; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/dhammapada-reflections/,Yes,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 835 words; 21 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 46.6%; external source links 2; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Noble Eightfold Path,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/eightfold-path/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1413 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained/ combined overlap 40.1%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
https://echobuddha.com/articles/eightfold-path-explained/,Noble Eightfold Path,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/eightfold-path/,Yes,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1533 words; 29 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 40.1%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
https://echobuddha.com/articles/equanimity-in-buddhism/,Equanimity,PROTECTED PRIMARY OWNER,No owner conflict; protect broad role.,KEEP,https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1489 words; 21 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 32.9%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It is the dedicated explanation of balanced care without numbness.
https://echobuddha.com/articles/first-week-buddhist-practice/,Beginner Buddhism,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 869 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 44.0%; external source links 3; role review: PRACTICAL_APPLICATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
https://echobuddha.com/articles/five-precepts-in-daily-life/,Five Precepts,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,IMPROVE,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1952 words; 27 content headings; authored route; nearest /articles/three-poisons-buddhism-explained/ combined overlap 34.2%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns the ethical framework; practical articles show application without redefining it.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Four Noble Truths,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,Current differentiation is insufficient against the selected owner or sibling.,CONSOLIDATE_REVIEW,https://echobuddha.com/learn/four-noble-truths/,Yes,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1318 words; 26 content headings; authored route; nearest /articles/what-is-buddhism-beginner-guide/ combined overlap 42.5%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
