directive,value,reason,status
default-src,'self',Restrict default resource loading to same origin,configured-report-only
base-uri,'self',Prevent malicious base URL injection,configured-report-only
object-src,'none',Block legacy plugin/object embedding,configured-report-only
frame-ancestors,'none',Prevent clickjacking frame embedding,configured-report-only
img-src,'self' data: https:,Allow local images, data icons, and HTTPS image resources,configured-report-only
script-src,'self' 'unsafe-inline' https://www.googletagmanager.com,Allow Astro inline bootstrapping/current inline site scripts and consent-gated Google tag script,configured-report-only
connect-src,'self' https://www.google-analytics.com https://region1.google-analytics.com https://analytics.google.com https://*.google-analytics.com,Allow same-origin data and consent-gated GA collection endpoints,configured-report-only
style-src,'self' 'unsafe-inline',Allow current Astro/CSS inline style behavior,configured-report-only
font-src,'self' data:,Allow local and data fonts only,configured-report-only
manifest-src,'self',Allow local web manifest,configured-report-only
form-action,'self',Restrict future forms to same-origin submissions unless reviewed,configured-report-only
