"Evidence ID","GSC reason","Source workbook","Source SHA-256","GSC URL","Last crawled / export state","Current initial status","Current redirect target","Current final status","Current final URL","Current robots","Current canonical","Current sitemap state","Protected / intended state","Reconciliation result","Defect?","Severity","Blocks unconditional READY?","Blocks reapplication?","Action"
"IDX-001","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","https://echobuddha.com/quotes/patience/a-difficult-moment-becomes-heavier-when-we-demand-that/","2026-08-07","200","","200","https://echobuddha.com/quotes/patience/a-difficult-moment-becomes-heavier-when-we-demand-that/","noindex, follow","self","OUT — expected","noindex, follow","PASS — intentional exclusion","No","NONE","No","No","Protect; no change"
"IDX-002","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","https://echobuddha.com/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/","2026-08-05","200","","200","https://echobuddha.com/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/","noindex, follow","self","OUT — expected","noindex, follow","PASS — intentional exclusion","No","NONE","No","No","Protect; no change"
"IDX-003","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","https://echobuddha.com/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/","2026-07-31","200","","200","https://echobuddha.com/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/","noindex, follow","self","OUT — expected","noindex, follow","PASS — intentional exclusion","No","NONE","No","No","Protect; no change"
"IDX-004","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/","2026-07-29","200","","200","https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/","noindex, follow","self","OUT — expected","noindex, follow","PASS — intentional exclusion","No","NONE","No","No","Protect; no change"
"IDX-005","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","http://echobuddha.com/daily-reflections/today/","2026-07-29","301","https://echobuddha.com/daily-reflections/today/","200","https://echobuddha.com/daily-reflections/today/","noindex, follow","self","OUT — expected","noindex, follow","PASS — HTTP alias redirects; target intentionally excluded","No","NONE","No","No","Protect; no change"
"IDX-006","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","http://echobuddha.com/search/","2026-07-28","301","https://echobuddha.com/search/","200","https://echobuddha.com/search/","noindex, follow","self","OUT — expected","noindex, follow","PASS — HTTP alias redirects; search intentionally excluded","No","NONE","No","No","Protect; no change"
"IDX-007","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","https://echobuddha.com/search/","2026-07-28","200","","200","https://echobuddha.com/search/","noindex, follow","self","OUT — expected","noindex, follow","PASS — search utility intentionally excluded","No","NONE","No","No","Protect; no change"
"IDX-008","Excluded by ‘noindex’ tag","echobuddha.com-Coverage-Drilldown-2026-08-13.xlsx","9cf159118455c753bd30a99ab177b3902cb88f711c4f859725df0b7dc94e4a4d","https://echobuddha.com/search/?q=%7Bsearch_term_string%7D","2026-07-27","200","","200","https://echobuddha.com/search/?q=%7Bsearch_term_string%7D","noindex, follow","https://echobuddha.com/search/","OUT — expected","noindex, follow","PASS — parameterized search intentionally excluded and canonicalized to base search","No","NONE","No","No","Protect; no change"
"IDX-009","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/","2026-07-31","301","https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/","200","https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/","noindex, follow","self","OUT — expected","noindex, follow","PASS — HTTP alias redirects to protected HTTPS target","No","NONE","No","No","Protect; no change"
"IDX-010","Page with redirect","echobuddha.com-Coverage-Drilldown-2026-08-13 (1).xlsx","2a7f006e269752d06c3799dcce5330d56dcfc999485b6991e900824195228b6c","http://echobuddha.com/articles/category/buddhist-wisdom/","2026-07-31","301","https://echobuddha.com/articles/category/buddhist-wisdom/","200","https://echobuddha.com/articles/category/buddhist-wisdom/","index, follow (implicit)","self","IN","indexable","PASS — HTTP alias redirects to indexable HTTPS target","No","NONE","No","No","Protect; no change"
