"Policy ID","Official topic","Current official requirement or guidance","Official Google URL","Reviewed date","Evidence taxonomy","Echo Buddha application","Result"
"POL-01","AdSense page readiness","Unique, relevant publisher content and clear navigation/user experience are expected.","https://support.google.com/adsense/answer/7299563?hl=en","2026-08-14","GOOGLE_POLICY_FACT","Applied to content, navigation, and page-family gates","PASS"
"POL-02","AdSense eligibility","Publisher content should be original and high quality; site ownership/source access is required.","https://support.google.com/adsense/answer/9724?hl=en","2026-08-14","GOOGLE_POLICY_FACT","Applied to originality and ownership gates","PASS"
"POL-03","AdSense site management","Ownership may be verified by ad code, ads.txt, or meta; ads may serve only after Ready status.","https://support.google.com/adsense/answer/12131223?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_SCREENSHOT_FACT","Account site state is Getting ready; live verification methods pass; Review requested","PASS — REVIEW IN PROGRESS / NOT YET APPROVED"
"POL-04","Connect a site","Meta tag and ads.txt are documented verification methods; approval is account state.","https://support.google.com/adsense/answer/7584263?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_SCREENSHOT_FACT","Static meta/ads.txt verified; All steps complete; Review requested","PASS — CONNECTION AND SUBMISSION COMPLETE"
"POL-05","Replicated content","Copied/embedded material without commentary, curation, or added value cannot carry Google-served ads.","https://support.google.com/publisherpolicies/answer/11190248?hl=en","2026-08-14","GOOGLE_POLICY_FACT","Source-study, quotes, and family samples reviewed","PASS"
"POL-06","Ads-to-content balance","Screens cannot contain more advertising or paid promotion than publisher content.","https://support.google.com/publisherpolicies/answer/11169917?hl=en","2026-08-14","GOOGLE_POLICY_FACT","No runtime ads or slots currently exist","PASS DISABLED"
"POL-07","ads.txt guide","Publisher ID must use the account-provided ads.txt entry; account status can lag while Google recrawls.","https://support.google.com/adsense/answer/12171612?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_ATTESTATION + LIVE_PRODUCTION_FACT","Public file returns 200 text/plain with the exact account line over HTTPS; HTTP redirects to HTTPS; account status reported Not found","PASS IMPLEMENTATION / NON-BLOCKING CRAWLER-PROPAGATION MONITORING"
"POL-08","ads.txt crawlability","Root ads.txt should return 200, remain crawlable, and work through HTTP/HTTPS handling.","https://support.google.com/adsense/answer/7679060?hl=en","2026-08-14","GOOGLE_POLICY_FACT","Live file/robots/redirect verified","PASS"
"POL-09","AdSense Sites statuses","Requires review, Needs attention, Getting ready, and Ready are account-level states; ads.txt has a separate crawler-derived status.","https://support.google.com/adsense/answer/12170222?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_SCREENSHOT_FACT","Sites: Getting ready; ads.txt: Not found; Policy Center: No current issues; ownership verified; Review requested","KNOWN REVIEW-IN-PROGRESS STATE / ADS.TXT STATUS MONITORED SEPARATELY"
"POL-10","Certified CMP","A Google-certified TCF CMP is required when serving personalized ads in the EEA, UK, or Switzerland.","https://support.google.com/adsense/answer/13554116?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_SCREENSHOT_FACT","Privacy & messaging shows European regulations 2 published; message/site/TCF details not shown; ads remain off","PARTIAL EVIDENCE — DETAILS REQUIRED BEFORE AD SERVING"
"POL-11","TCF integration","TCF v2.3 is the current publisher integration baseline.","https://support.google.com/adsense/answer/9804260?hl=en","2026-08-14","GOOGLE_POLICY_FACT","Google-managed CMP configuration is owner-verified; exact UI version label is not exposed in the supplied view","PASS WITH VERSION-LABEL BOUNDARY; RECHECK BEFORE AD SERVING"
"POL-12","Helpful people-first content","Original analysis, completeness, expertise, clear sourcing, and satisfying user outcomes support people-first quality.","https://developers.google.com/search/docs/fundamentals/creating-helpful-content","2026-08-14","GOOGLE_POLICY_FACT","Applied as a quality lens, not an AdSense scoring claim","PASS"
"POL-13","Search spam policies","Scaled content abuse is primarily search-manipulative, low-value mass generation regardless of production method.","https://developers.google.com/search/docs/essentials/spam-policies","2026-08-14","GOOGLE_POLICY_FACT","Phase 5 differentiation and current route roles reviewed","PASS"
"POL-14","Canonicalization","Redirects and rel=canonical are stronger signals; sitemap inclusion is supporting evidence, not a guarantee.","https://developers.google.com/search/docs/crawling-indexing/consolidate-duplicate-urls","2026-08-14","GOOGLE_POLICY_FACT","193 self-canonical intended URLs verified; Google selection needs inspection","PASS WITH OWNER LIMITATION"
"POL-15","Sitemap guidance","Include preferred absolute canonical URLs intended for Search.","https://developers.google.com/search/docs/crawling-indexing/sitemaps/build-sitemap","2026-08-14","GOOGLE_POLICY_FACT","193 canonical URLs verified; GSC processing unknown","PASS WITH OWNER LIMITATION"
"POL-16","Manual Actions","The account report is authoritative for manual actions; rankings cannot prove absence.","https://support.google.com/webmasters/answer/9044175?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_SCREENSHOT_FACT","GSC domain property echobuddha.com reports No issues detected; screenshot SHA-256 32fcdd598116fa58366d4e1d7d40a376a61ea35dc3046fd4ea17108aaba25470","PASS"
"POL-17","Security Issues","The account report is authoritative for hacked or harmful site findings.","https://support.google.com/webmasters/answer/9044101?hl=en","2026-08-14","GOOGLE_POLICY_FACT + OWNER_SCREENSHOT_FACT","GSC domain property echobuddha.com reports No issues detected; screenshot SHA-256 dd32636f03d1ef61353ab4a6f4658035fe36cc6facd14c361e6f6ddf5388bd28","PASS"
