URL,Phase 3 robots,Phase 4 robots,Phase 3 sitemap,Phase 4 sitemap,Phase 3 canonical,Phase 4 canonical,URL changed?,Index policy changed?,Result
https://echobuddha.com/learn/buddhism-for-beginners/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,No,No,PASS
https://echobuddha.com/learn/four-noble-truths/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,No,No,PASS
https://echobuddha.com/learn/eightfold-path/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,No,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,No,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,No,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,No,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,No,No,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,No,No,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,No,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,"index, follow",index,Yes,Yes,https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,No,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,No,No,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,No,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,No,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,No,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/impermanence-in-buddhism/,https://echobuddha.com/articles/impermanence-in-buddhism/,No,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,No,No,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,"index, follow",index,Yes,Yes,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,No,No,PASS
https://echobuddha.com/meditation/breathing-meditation/,"index, follow",index,Yes,Yes,https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/meditation/breathing-meditation/,No,No,PASS
