URL,Page family,Variant,Before index state,After index state,Sitemap after,Phase 3 action,Primary owner,Evidence,Rationale
https://echobuddha.com/daily-reflections/,hub/utility,,indexable,indexable,in sitemap,KEEP_INDEXED,https://echobuddha.com/daily-reflections/,Phase 1: Built 2026-08-11T02:17:46.273Z; 1782 words; 36 content headings; authored route; nearest /quotes/ combined overlap 20.6%; external source links 0; role review: HUB; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.
https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 307 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.8%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 74.5%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.1%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/evening-release/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.7%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/family-patience/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 74.1%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/gratitude-for-change/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /daily-reflections/impermanence-softens-clinging/ combined overlap 73.8%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 74.3%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-for-change/ combined overlap 73.8%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 302 words; 12 content headings; authored route; nearest /daily-reflections/rest-without-escape/ combined overlap 76.0%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,daily reflection,,indexable,noindex,out of sitemap,NOINDEX,https://echobuddha.com/daily-reflections/,Built 2026-08-11T02:17:46.273Z; 318 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 73.4%; external source links 0,Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
