URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,,indexable,in sitemap,312,12,1,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,40.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 312 words; 12 content headings; authored route; nearest /learn/buddhism-101/how-to-practice-buddhism-at-home/ combined overlap 40.7%; external source links 1
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,,indexable,in sitemap,941,18,1,https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,32.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 941 words; 18 content headings; authored route; nearest /learn/buddhism-101/three-marks-of-existence/ combined overlap 32.4%; external source links 1
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,,indexable,in sitemap,938,19,1,https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,34.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 938 words; 19 content headings; authored route; nearest /learn/buddhism-101/three-marks-of-existence/ combined overlap 34.5%; external source links 1
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,,indexable,in sitemap,364,9,1,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,32.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 364 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ combined overlap 32.3%; external source links 1
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,,indexable,in sitemap,1244,20,1,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,33.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 1244 words; 20 content headings; authored route; nearest /learn/buddhism-101/right-livelihood-buddhism/ combined overlap 33.8%; external source links 1
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,,indexable,in sitemap,367,9,2,https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,37.9,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 367 words; 9 content headings; authored route; nearest /learn/buddhism-101/threefold-training-sila-samadhi-panna/ combined overlap 37.9%; external source links 2
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,,indexable,in sitemap,343,12,1,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,44.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 343 words; 12 content headings; authored route; nearest /learn/buddhism-101/what-is-buddhism/ combined overlap 44.4%; external source links 1
https://echobuddha.com/learn/buddhism-101/,,indexable,in sitemap,612,3,2,https://echobuddha.com/learn/buddhist-dictionary/,17.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 612 words; 3 content headings; authored route; nearest /learn/buddhist-dictionary/ combined overlap 17.3%; external source links 2
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,,indexable,in sitemap,384,9,1,https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,38.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 384 words; 9 content headings; authored route; nearest /learn/buddhism-101/threefold-training-sila-samadhi-panna/ combined overlap 38.5%; external source links 1
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,,indexable,in sitemap,1088,19,2,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,33.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 1088 words; 19 content headings; authored route; nearest /learn/buddhism-101/five-precepts-buddhism/ combined overlap 33.8%; external source links 2
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,,indexable,in sitemap,368,12,1,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,45.9,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 368 words; 12 content headings; authored route; nearest /learn/buddhism-101/what-is-impermanence/ combined overlap 45.9%; external source links 1
