route,family,subtype,sourceFile,routeFile,h1,titleTag,metaDescription,canonical,robots,wordCount,internalLinkCount,externalSourceLinkCount,inboundLinkCount,inSitemap,inSearchIndex,auditStatus
/,Homepage and high-level entry,homepage,src/pages/index.astro,src/pages/index.astro,Echo Buddha,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,"Explore simple Buddhist teachings, daily reflections, quote meanings, beginner meditation guides, and mindfulness practices for a calmer everyday life.",https://echobuddha.com/,"index, follow (implicit)",1052,101,0,264,true,true,baseline captured
/404.html,Supporting and technical public pages,404,src/pages/404.astro,src/pages/404.astro,Page Not Found,Page Not Found | Echo Buddha,"The requested Echo Buddha page could not be found. Return to Buddhist articles, quotes, or meditation guidance.",,"noindex, follow",30,27,0,0,false,false,review: missing canonical; noindex
/about/,Trust and institutional content,about,src/pages/about.astro,src/pages/about.astro,About Echo Buddha,About Echo Buddha | Echo Buddha,Learn about Echo Buddha,https://echobuddha.com/about/,"index, follow (implicit)",283,28,0,264,true,true,baseline captured
/authors/echo-buddha-editorial/,Trust and institutional content,authors/echo-buddha-editorial,src/pages/authors/echo-buddha-editorial.astro,src/pages/authors/echo-buddha-editorial.astro,Echo Buddha Editorial,Echo Buddha Editorial | Echo Buddha,"Meet the Echo Buddha Editorial voice behind accessible Buddhist-inspired wisdom, mindfulness, reflection, and meditation education.",https://echobuddha.com/authors/echo-buddha-editorial/,"index, follow (implicit)",321,43,0,1,true,true,baseline captured
/contact/,Trust and institutional content,contact,src/pages/contact.astro,src/pages/contact.astro,Contact Echo Buddha,Contact | Echo Buddha,"Contact Echo Buddha with questions, suggestions, article ideas, or general feedback about the website.",https://echobuddha.com/contact/,"index, follow (implicit)",125,23,0,264,true,true,baseline captured
/daily-reflections/,Daily reflections,reflection-hub,src/data/dailyReflections.ts,src/pages/daily-reflections/index.astro,Daily Buddhist Reflections for Mindful Living,Daily Buddhist Reflections for Mindful Living | Echo Buddha,"Read short Buddhist-inspired daily reflections with simple meanings, mindful practices, and journal questions for everyday life.",https://echobuddha.com/daily-reflections/,"index, follow (implicit)",1954,155,0,264,true,true,baseline captured
/daily-reflections/anger-as-a-signal/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Anger Can Become a Signal,Anger Can Become a Signal - Daily Buddhist Reflection | Echo Buddha,"Anger asks for speed. Awareness asks for one more breath. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/anger-as-a-signal/,"index, follow (implicit)",234,32,0,2,true,true,baseline captured
/daily-reflections/begin-again-without-shame/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Begin Again Without Shame,Begin Again Without Shame - Daily Buddhist Reflection | Echo Buddha,"The path welcomes your return more often than pride wants to admit. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/begin-again-without-shame/,"index, follow (implicit)",234,32,0,2,true,true,baseline captured
/daily-reflections/compassion-begins-nearby/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Compassion Begins Nearby,Compassion Begins Nearby - Daily Buddhist Reflection | Echo Buddha,"The person in front of you is not the only one who needs compassion. The person within you does too. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/compassion-begins-nearby/,"index, follow (implicit)",235,32,0,2,true,true,baseline captured
/daily-reflections/enough-for-this-moment/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Enough for This Moment,Enough for This Moment - Daily Buddhist Reflection | Echo Buddha,"The present moment asks for your attention, not your perfection. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/enough-for-this-moment/,"index, follow (implicit)",232,32,0,2,true,true,baseline captured
/daily-reflections/evening-release/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,End the Day by Releasing,End the Day by Releasing - Daily Buddhist Reflection | Echo Buddha,"You can review the day without asking it to become perfect. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/evening-release/,"index, follow (implicit)",234,32,0,2,true,true,baseline captured
/daily-reflections/family-patience/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Patience at Home,Patience at Home - Daily Buddhist Reflection | Echo Buddha,"The path is tested in the rooms where we are most easily impatient. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/family-patience/,"index, follow (implicit)",235,32,0,2,true,true,baseline captured
/daily-reflections/forgiveness-without-approval/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Forgiveness Is Not Approval,Forgiveness Is Not Approval - Daily Buddhist Reflection | Echo Buddha,"You can release the need to replay harm without calling the harm acceptable. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/forgiveness-without-approval/,"index, follow (implicit)",233,32,0,2,true,true,baseline captured
/daily-reflections/gratitude-for-change/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Gratitude for Change,Gratitude for Change - Daily Buddhist Reflection | Echo Buddha,"Change takes nothing personally. It simply continues. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/gratitude-for-change/,"index, follow (implicit)",219,32,0,2,true,true,baseline captured
/daily-reflections/gratitude-notices-enough/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Gratitude Notices Enough,Gratitude Notices Enough - Daily Buddhist Reflection | Echo Buddha,"Contentment often begins when attention stops searching past what is already here. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/gratitude-notices-enough/,"index, follow (implicit)",230,32,0,2,true,true,baseline captured
/daily-reflections/impermanence-softens-clinging/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Impermanence Softens Clinging,Impermanence Softens Clinging - Daily Buddhist Reflection | Echo Buddha,"Because this moment will change, meet it carefully while it is here. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,"index, follow (implicit)",235,32,0,2,true,true,baseline captured
/daily-reflections/kindness-with-boundaries/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Kindness Can Have Boundaries,Kindness Can Have Boundaries - Daily Buddhist Reflection | Echo Buddha,"A kind heart does not need to say yes to everything. Clear boundaries can protect compassion from exhaustion. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/kindness-with-boundaries/,"index, follow (implicit)",234,32,0,2,true,true,baseline captured
/daily-reflections/let-the-feeling-pass/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Let the Feeling Pass Through,Let the Feeling Pass Through - Daily Buddhist Reflection | Echo Buddha,"A feeling can be real without becoming the whole story. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/let-the-feeling-pass/,"index, follow (implicit)",240,32,0,2,true,true,baseline captured
/daily-reflections/letting-go-keeps-care/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Letting Go Keeps the Care,Letting Go Keeps the Care - Daily Buddhist Reflection | Echo Buddha,"Release the outcome, but keep the care you bring to the work. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/letting-go-keeps-care/,"index, follow (implicit)",230,32,0,2,true,true,baseline captured
/daily-reflections/listen-before-answering/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Listen Before Answering,Listen Before Answering - Daily Buddhist Reflection | Echo Buddha,"Many conversations soften when listening becomes more important than winning. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/listen-before-answering/,"index, follow (implicit)",234,32,0,3,true,true,baseline captured
/daily-reflections/metta-for-a-difficult-person/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Metta Without Pretending,Metta Without Pretending - Daily Buddhist Reflection | Echo Buddha,"Goodwill does not require pretending harm was harmless. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,"index, follow (implicit)",224,32,0,2,true,true,baseline captured
/daily-reflections/mindful-work/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Work Can Carry Practice,Work Can Carry Practice - Daily Buddhist Reflection | Echo Buddha,"The way you earn, answer, decide, and repair can become part of the path. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/mindful-work/,"index, follow (implicit)",233,32,0,2,true,true,baseline captured
/daily-reflections/morning-intention/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Begin With Intention,Begin With Intention - Daily Buddhist Reflection | Echo Buddha,"A day can begin before the phone begins speaking for it. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/morning-intention/,"index, follow (implicit)",225,32,0,2,true,true,baseline captured
/daily-reflections/notice-before-fixing/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Notice Before Fixing,Notice Before Fixing - Daily Buddhist Reflection | Echo Buddha,"Sometimes the kindest first step is not to fix the moment, but to understand it. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/notice-before-fixing/,"index, follow (implicit)",231,32,0,2,true,true,baseline captured
/daily-reflections/one-honest-breath/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Return Through One Honest Breath,Return Through One Honest Breath - Daily Buddhist Reflection | Echo Buddha,"The breath does not ask you to be perfect. It simply offers a place to begin again. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/one-honest-breath/,"index, follow (implicit)",245,32,0,2,true,true,baseline captured
/daily-reflections/one-step-on-the-path/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,The Path Is One Step,The Path Is One Step - Daily Buddhist Reflection | Echo Buddha,"The path is not far away. It is the next honest word, the next careful breath, the next kind choice. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/one-step-on-the-path/,"index, follow (implicit)",246,32,0,2,true,true,baseline captured
/daily-reflections/patience-before-anger-speaks/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Patience Begins Before Anger Speaks,Patience Begins Before Anger Speaks - Daily Buddhist Reflection | Echo Buddha,"Before anger becomes words, there is a small moment of awareness. In that moment, patience can begin. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,"index, follow (implicit)",247,32,0,4,true,true,baseline captured
/daily-reflections/rest-without-escape/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Rest Without Escape,Rest Without Escape - Daily Buddhist Reflection | Echo Buddha,"Rest can be a way of caring for practice, not a way of leaving it. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/rest-without-escape/,"index, follow (implicit)",234,32,0,2,true,true,baseline captured
/daily-reflections/see-the-conditions/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,See the Conditions,See the Conditions - Daily Buddhist Reflection | Echo Buddha,"What appears suddenly often has roots you have not yet seen. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/see-the-conditions/,"index, follow (implicit)",232,32,0,2,true,true,baseline captured
/daily-reflections/simple-goodwill/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Simple Goodwill Counts,Simple Goodwill Counts - Daily Buddhist Reflection | Echo Buddha,"Small kindnesses often reach places that advice cannot. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/simple-goodwill/,"index, follow (implicit)",223,32,0,2,true,true,baseline captured
/daily-reflections/small-actions-shape-the-mind/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Small Actions Shape the Mind,Small Actions Shape the Mind - Daily Buddhist Reflection | Echo Buddha,"A life is shaped not only by large decisions, but by the small intentions repeated every day. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,"index, follow (implicit)",236,32,0,2,true,true,baseline captured
/daily-reflections/soften-the-inner-argument/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Soften the Inner Argument,Soften the Inner Argument - Daily Buddhist Reflection | Echo Buddha,"Peace often begins when the mind stops arguing with what has already happened. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/soften-the-inner-argument/,"index, follow (implicit)",232,32,0,2,true,true,baseline captured
/daily-reflections/speech-can-reduce-suffering/,Daily reflections,reflection-detail,src/data/dailyReflections.ts,src/pages/daily-reflections/[slug].astro,Speech Can Reduce Suffering,Speech Can Reduce Suffering - Daily Buddhist Reflection | Echo Buddha,"A truthful sentence can still choose gentleness. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,"index, follow (implicit)",230,32,0,2,true,true,baseline captured
