URL,Page family,Forensic route present,Current route present,Route drift,Forensic rendered words,Current rendered words,Rendered text changed
https://echobuddha.com/404.html,error utility,Yes,Yes,NONE,163,163,No
https://echobuddha.com/about/,trust/policy,Yes,Yes,NONE,483,483,No
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,articles,Yes,Yes,NONE,1533,1533,No
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,articles,Yes,Yes,NONE,1825,1825,No
https://echobuddha.com/articles/buddhist-approach-to-anger/,articles,Yes,Yes,NONE,1614,1887,Yes
https://echobuddha.com/articles/buddhist-gratitude-practice/,articles,Yes,Yes,NONE,1805,1805,No
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,articles,Yes,Yes,NONE,1757,1757,Yes
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,articles,Yes,Yes,NONE,1665,1665,No
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,articles,Yes,Yes,NONE,1772,1772,No
https://echobuddha.com/articles/category/buddhist-wisdom/,articles,Yes,Yes,NONE,941,941,Yes
https://echobuddha.com/articles/category/meditation/,articles,Yes,Yes,NONE,538,538,No
https://echobuddha.com/articles/category/mindfulness/,articles,Yes,Yes,NONE,425,425,No
https://echobuddha.com/articles/category/practice/,articles,Yes,Yes,NONE,487,487,Yes
https://echobuddha.com/articles/category/reflection/,articles,Yes,Yes,NONE,545,545,No
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,articles,Yes,Yes,NONE,1582,1582,Yes
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,articles,Yes,Yes,NONE,1576,1576,No
https://echobuddha.com/articles/compassion-with-boundaries/,articles,Yes,Yes,NONE,991,991,Yes
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,articles,Yes,Yes,NONE,1556,1556,No
https://echobuddha.com/articles/dhamma-vs-dharma/,articles,Yes,Yes,NONE,1148,1148,No
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,articles,Yes,Yes,NONE,1573,1573,No
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,articles,Yes,Yes,NONE,1803,1803,Yes
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,articles,Yes,Yes,NONE,1177,1177,No
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,articles,Yes,Yes,NONE,1804,1804,Yes
https://echobuddha.com/articles/eightfold-path-explained/,articles,Yes,Yes,NONE,1919,1919,Yes
https://echobuddha.com/articles/equanimity-in-buddhism/,articles,Yes,Yes,NONE,1923,1923,No
https://echobuddha.com/articles/first-week-buddhist-practice/,articles,Yes,Yes,NONE,1173,1173,Yes
https://echobuddha.com/articles/five-precepts-in-daily-life/,articles,Yes,Yes,NONE,2409,2409,Yes
https://echobuddha.com/articles/four-noble-truths-explained-simply/,articles,Yes,Yes,NONE,1697,1697,No
https://echobuddha.com/articles/four-noble-truths-explained/,articles,Yes,Yes,NONE,1839,1839,No
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,articles,Yes,Yes,NONE,1880,1880,No
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,articles,Yes,Yes,NONE,1831,1831,No
https://echobuddha.com/articles/how-to-meditate-for-beginners/,articles,Yes,Yes,NONE,1743,1743,No
https://echobuddha.com/articles/how-to-practice-non-attachment/,articles,Yes,Yes,NONE,1593,1593,No
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,articles,Yes,Yes,NONE,1663,1663,No
