"Primary owner","Role","Latest GSC signal","Search maturity","Phase 11 readiness","High/critical conflict","Evidence boundary","Decision"
"Beginner Buddhism","PRIMARY OWNER","See Phase 10 source row","DEVELOPING","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Four Noble Truths","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Noble Eightfold Path","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Karma","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Five Precepts","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Three Poisons","PRIMARY OWNER","See Phase 10 source row","DEVELOPING","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Impermanence","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Attachment / Non-Attachment / Letting Go","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Compassion","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Loving-Kindness / Metta","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Equanimity","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Right Speech","PRIMARY OWNER","See Phase 10 source row","DEVELOPING","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Patience","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Anger","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Forgiveness","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Gratitude","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Dhamma / Dharma","PRIMARY OWNER","See Phase 10 source row","DEVELOPING","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Sangha","PRIMARY OWNER","See Phase 10 source row","DEVELOPING","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Meditation","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Breath / Mindfulness of Breathing","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Walking Meditation","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Anxiety / Overthinking","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Sleep","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Mindfulness","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Dhammapada","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Sutta Study","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Buddhist Dictionary","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Quotes","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Daily Reflections","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Right Livelihood","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Brahmaviharas","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Buddhist Foundations","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Buddhist Practice","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Article Discovery","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Learn Navigation","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Newcomer Orientation","PRIMARY OWNER","See Phase 10 source row","INSUFFICIENT","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
"Mindful Living","PRIMARY OWNER","See Phase 10 source row","EARLY","PASS","No","Query-by-page intersections were not supplied; owner architecture is repository-authoritative","Protect and observe"
