URL/component,WCAG criterion/category,automated finding,manual finding,severity,remediation,status,evidence
https://echobuddha.com/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/start-here/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/articles/four-noble-truths-explained-simply/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/learn/sutta-for-daily-life/how-to-read-a-buddhist-sutta/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/learn/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/quotes/mindfulness/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/daily-reflections/one-honest-breath/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/daily-reflections/today/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/meditation/breathing-meditation/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/search/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/tools/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/about/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/contact/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/editorial-policy/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/privacy-policy/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
https://echobuddha.com/missing-audit-url/,"axe wcag2a,wcag2aa,wcag21a,wcag21aa,wcag22aa",0 violations; 1 H1; 1 main,Landmarks/headings/reflow reviewed on representative journeys,NONE,NONE,PASS,AUTOMATED axe + manual responsive review
Global skip link,2.4.1 Bypass Blocks / 2.4.3 Focus Order,Target exists,Activation moves focus to #main-content,A11Y_LOW_RESOLVED,main tabindex=-1,PASS,MANUAL Chromium keyboard
Mobile menu and search dialog,2.1.1 Keyboard / 2.1.2 No Keyboard Trap / 2.4.7 Focus Visible,No axe violations,Escape closes and restores trigger focus,NONE,Preserved existing behavior,PASS,MANUAL Chromium keyboard
Footer and breadcrumb controls,2.5.8 Target Size (Minimum),No axe violations,Measured minimum footer target height 28px; mobile primary controls 44px,A11Y_LOW_RESOLVED,Minimum target height + breadcrumb wrapping,PASS,MANUAL computed layout
Real screen-reader workflow,Assistive technology validation,NOT_TESTED,Real screen reader unavailable in environment,HOLD,Owner/device validation,SCREEN_READER_MANUAL_TEST_PENDING,NOT_TESTED
