URL,family,Search protection,shortest path from homepage,shortest path from relevant hub,internal inlinks,orphan?,UX assessment,remediation
https://echobuddha.com/about/,TRUST,SEO_P1_HIGH,1,1,335,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,SEO_P3_LIMITED,2,1,24,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,SEO_P3_LIMITED,2,1,11,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,SEO_P2_EMERGING,2,1,19,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,SEO_P3_LIMITED,2,1,4,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,SEO_P3_LIMITED,2,1,11,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,SEO_P3_LIMITED,2,1,8,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,SEO_P1_HIGH,2,1,45,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_HUB,SEO_P2_EMERGING,1,1,94,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/category/meditation/,ARTICLE_HUB,SEO_P2_EMERGING,2,1,35,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/category/mindfulness/,ARTICLE_HUB,SEO_P2_EMERGING,2,1,54,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/category/practice/,ARTICLE_HUB,SEO_P2_EMERGING,1,1,52,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/category/reflection/,ARTICLE_HUB,SEO_P2_EMERGING,2,1,55,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,ARTICLE,SEO_P3_LIMITED,2,1,19,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,SEO_P1_HIGH,2,1,7,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/compassion-with-boundaries/,ARTICLE,SEO_P1_HIGH,1,1,57,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,ARTICLE,SEO_P2_EMERGING,2,1,2,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/dhamma-vs-dharma/,ARTICLE,SEO_P1_HIGH,1,1,55,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,ARTICLE,SEO_P3_LIMITED,2,1,4,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,ARTICLE,SEO_P1_HIGH,2,1,5,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,ARTICLE,SEO_P1_HIGH,2,1,36,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,ARTICLE,SEO_P2_EMERGING,2,1,8,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/eightfold-path-explained/,ARTICLE,SEO_P2_EMERGING,2,1,11,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/equanimity-in-buddhism/,ARTICLE,SEO_P2_EMERGING,2,1,2,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/first-week-buddhist-practice/,ARTICLE,SEO_P2_EMERGING,2,1,33,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/five-precepts-in-daily-life/,ARTICLE,SEO_P1_HIGH,2,1,4,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/four-noble-truths-explained-simply/,ARTICLE,SEO_P2_EMERGING,2,1,6,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/four-noble-truths-explained/,ARTICLE,SEO_P3_LIMITED,2,1,9,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,ARTICLE,SEO_P1_HIGH,2,1,40,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,ARTICLE,SEO_P2_EMERGING,2,1,9,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/how-to-meditate-for-beginners/,ARTICLE,SEO_P3_LIMITED,2,1,21,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,ARTICLE,SEO_P2_EMERGING,2,1,5,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/impermanence-in-buddhism/,ARTICLE,SEO_P2_EMERGING,2,1,11,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/,ARTICLE,SEO_P1_HIGH,1,0,335,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,ARTICLE,SEO_P3_LIMITED,2,1,9,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/loving-kindness-meditation-guide/,ARTICLE,SEO_P3_LIMITED,2,1,6,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/metta-meditation-script/,ARTICLE,SEO_P2_EMERGING,2,1,8,NO,REASONABLE_DISCOVERABILITY,NONE
https://echobuddha.com/articles/mindful-email-and-texting/,ARTICLE,SEO_P2_EMERGING,1,1,35,NO,REASONABLE_DISCOVERABILITY,NONE
