urlA,urlB,pageTypeA,pageTypeB,similarity,decision,notes
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,quoteStory,quoteStory,0.915,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,https://echobuddha.com/quotes/mindfulness/the-more-clearly-you-notice-life-the-less-carelessly/,quoteStory,quoteStory,0.912,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,quoteStory,quoteStory,0.911,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,quoteStory,quoteStory,0.900,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,quoteStory,quoteStory,0.895,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/patience/a-difficult-moment-becomes-heavier-when-we-demand-that/,https://echobuddha.com/quotes/patience/patience-is-the-strength-to-remain-present-while-life/,quoteStory,quoteStory,0.893,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/,quoteStory,quoteStory,0.887,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/,https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/,quoteStory,quoteStory,0.884,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/,https://echobuddha.com/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/,quoteStory,quoteStory,0.883,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,quoteStory,quoteStory,0.882,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/,https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/,quoteStory,quoteStory,0.881,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/practice/the-path-is-shaped-by-what-you-repeat-when/,https://echobuddha.com/quotes/practice/your-next-response-is-always-part-of-the-path/,quoteStory,quoteStory,0.881,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,quoteStory,quoteStory,0.879,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/,quoteStory,quoteStory,0.877,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/renewal/each-conscious-breath-is-a-small-vote-for-beginning/,https://echobuddha.com/quotes/renewal/morning-is-not-the-only-time-a-life-can/,quoteStory,quoteStory,0.877,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/renewal/do-not-confuse-an-old-pattern-with-an-unchangeable/,https://echobuddha.com/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/,quoteStory,quoteStory,0.874,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,quoteStory,quoteStory,0.873,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/the-more-clearly-you-notice-life-the-less-carelessly/,https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/,quoteStory,quoteStory,0.873,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,quoteStory,quoteStory,0.872,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,https://echobuddha.com/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/,quoteStory,quoteStory,0.872,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,quoteStory,quoteStory,0.871,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,https://echobuddha.com/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/,quoteStory,quoteStory,0.871,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/patience/be-patient-with-the-part-of-you-that-is/,https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,quoteStory,quoteStory,0.871,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/,https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/,quoteStory,quoteStory,0.871,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/,https://echobuddha.com/quotes/practice/your-next-response-is-always-part-of-the-path/,quoteStory,quoteStory,0.871,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,quoteStory,quoteStory,0.870,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,quoteStory,quoteStory,0.869,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,https://echobuddha.com/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/,quoteStory,quoteStory,0.869,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,quoteStory,quoteStory,0.868,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/,https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/,quoteStory,quoteStory,0.868,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
https://echobuddha.com/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/,https://echobuddha.com/quotes/mindfulness/the-more-clearly-you-notice-life-the-less-carelessly/,quoteStory,quoteStory,0.868,Quote-family origin classified; monitor standalone value,Automated lexical signal; legitimate hub/detail overlap may remain.
