"Priority","URL / Topic","Opportunity type","Evidence","Clicks","Impressions","Position","Trend","Data age","Post-deploy evidence?","Confidence","Change now?","Recommended action","Observation period","Phase destination"
"P2 protect","https://echobuddha.com/articles/right-speech-buddhism/","EMERGING WINNER","GSC Page latest/prior comparison","3","178","27.13","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/quotes/letting-go/","EMERGING WINNER","GSC Page latest/prior comparison","2","92","19.68","283.33% impressions","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/quotes/patience/","EMERGING WINNER","GSC Page latest/prior comparison","1","115","26.83","618.75% impressions","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/articles/dhamma-vs-dharma/","EMERGING WINNER","GSC Page latest/prior comparison","1","87","10.56","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/articles/three-poisons-buddhism-explained/","EMERGING WINNER","GSC Page latest/prior comparison","1","79","46.68","7800% impressions","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/learn/buddhism-for-beginners/","EMERGING WINNER","GSC Page latest/prior comparison","0","107","44.42","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/articles/five-precepts-in-daily-life/","EMERGING WINNER","GSC Page latest/prior comparison","0","87","53.7","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P2 protect","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","EMERGING WINNER","GSC Page latest/prior comparison","0","69","81.51","1625% impressions","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P3 review","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","HIGH-IMPRESSION / LOW-RANK OPPORTUNITY","GSC Page latest/prior comparison","0","67","49.16","63.41% impressions","Ends 2026-08-11","No for Phase 8/9","Medium","NO","PROTECT / OBSERVE; review owner and intent in Phase 11","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P3 review","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","HIGH-RANK / LOW-CLICK REVIEW","GSC Page latest/prior comparison","0","47","8.09","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium; query privacy applies","NO","REVIEW SNIPPET LATER after more impressions and query/URL evidence","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P3 review","https://echobuddha.com/articles/dhammapada-verse-1-meaning/","HIGH-RANK / LOW-CLICK REVIEW","GSC Page latest/prior comparison","0","34","7.29","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium; query privacy applies","NO","REVIEW SNIPPET LATER after more impressions and query/URL evidence","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
"P3 review","https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/","HIGH-RANK / LOW-CLICK REVIEW","GSC Page latest/prior comparison","0","21","7.14","New in latest comparison table","Ends 2026-08-11","No for Phase 8/9","Medium; query privacy applies","NO","REVIEW SNIPPET LATER after more impressions and query/URL evidence","Refresh after at least 14-28 days of post-final-release data, plus recrawl evidence","Phase 11 measurement context / future editorial review"
