URL,Page family,Variant,Before index state,After index state,Sitemap after,Phase 3 action,Primary owner,Evidence,Rationale
https://echobuddha.com/404.html,error utility,,noindex,noindex,out of sitemap,KEEP_NOINDEXED,https://echobuddha.com/404.html,162 built words; current robots and sitemap verified.,Utility/error route has no independent search-result purpose.
https://echobuddha.com/about/,trust/policy,,indexable,indexable,in sitemap,HUMAN_REVIEW,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required."
https://echobuddha.com/buddhist-sources-and-citations/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 295 words; 6 content headings; authored route; nearest /quote-attribution-policy/ combined overlap 20.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/contact/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 120 words; 4 content headings; authored route; nearest /corrections/ combined overlap 15.5%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/corrections/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 215 words; 7 content headings; authored route; nearest /contact/ combined overlap 15.5%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/daily-reflections/today/,daily reflection utility,,noindex,noindex,out of sitemap,KEEP_NOINDEXED,https://echobuddha.com/daily-reflections/today/,Current noindex page preserved; not part of the indexable scoring population.,Utility/error route has no independent search-result purpose.
https://echobuddha.com/disclaimer/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 221 words; 6 content headings; authored route; nearest /meditation-safety/ combined overlap 18.0%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/editorial-policy/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 576 words; 10 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 19.4%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/how-echo-buddha-creates-content/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 347 words; 7 content headings; authored route; nearest /editorial-policy/ combined overlap 19.4%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/meditation-safety/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 254 words; 6 content headings; authored route; nearest /disclaimer/ combined overlap 18.0%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/privacy-policy/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 383 words; 8 content headings; authored route; nearest /editorial-policy/ combined overlap 9.5%; external source links 1; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
https://echobuddha.com/quote-attribution-policy/,trust/policy,,indexable,indexable,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/about/,"Phase 1: Built 2026-08-11T02:17:46.273Z; 248 words; 5 content headings; authored route; nearest /buddhist-sources-and-citations/ combined overlap 20.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
