URL,gsc_reported_internal_links_2026_08_24,crawl_inbound_unique_pages,crawl_contextual_inbound_pages,crawl_navigation_inbound_pages,crawl_related_inbound_pages,checkpoint_internal_authority,interpretation
https://echobuddha.com/,523,337,337,80,43,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/articles/,301,337,312,151,41,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/disclaimer/,300,337,333,7,46,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/editorial-policy/,300,337,336,7,13,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/learn/,300,337,309,123,41,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/privacy-policy/,300,337,335,14,30,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/quotes/,300,337,326,12,38,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/about/,299,337,335,2,16,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/contact/,299,337,335,2,3,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/meditation/,298,337,299,137,40,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/terms-of-use/,298,337,334,3,29,HIGH,GLOBAL_NAVIGATION_OR_FOOTER_HEAVY; DO_NOT_EQUATE_WITH_EDITORIAL_AUTHORITY
https://echobuddha.com/articles/category/buddhist-wisdom/,86,95,95,49,20,HIGH,GOOGLE_REPORTED_INTERNAL_LINK_EVIDENCE; RETAIN_CRAWL_CONTEXT_SEPARATELY
https://echobuddha.com/quotes/wisdom/,63,66,66,19,17,HIGH,GOOGLE_REPORTED_INTERNAL_LINK_EVIDENCE; RETAIN_CRAWL_CONTEXT_SEPARATELY
https://echobuddha.com/articles/right-speech-buddhism/,55,50,49,6,10,HIGH,GOOGLE_REPORTED_INTERNAL_LINK_EVIDENCE; RETAIN_CRAWL_CONTEXT_SEPARATELY
https://echobuddha.com/quotes/practice/,47,50,50,7,4,HIGH,GOOGLE_REPORTED_INTERNAL_LINK_EVIDENCE; RETAIN_CRAWL_CONTEXT_SEPARATELY
https://echobuddha.com/quotes/letting-go/,39,40,40,9,10,MEDIUM,GOOGLE_REPORTED_INTERNAL_LINK_EVIDENCE; RETAIN_CRAWL_CONTEXT_SEPARATELY
https://echobuddha.com/quotes/meditation/,38,38,38,11,8,MEDIUM,GOOGLE_REPORTED_INTERNAL_LINK_EVIDENCE; RETAIN_CRAWL_CONTEXT_SEPARATELY
