URL,route,family,intended_state,expected_http_status,robots,canonical,expected_canonical,sitemap,title,h1,schema_types,schema_valid,date_order_valid,source,redirect_target,expected_content_type
https://echobuddha.com/,/,HOME,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/,https://echobuddha.com/,YES,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,WebSite|Organization|BreadcrumbList|FAQPage|ItemList,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/404,/404,ERROR,NOINDEX_USER_PAGE_200,200,"noindex, follow",,,NO,Page Not Found | Echo Buddha,Page Not Found,,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/404.html,/404.html,ERROR_ALIAS,TEMPORARY_REDIRECT,307,NOT_APPLICABLE,,,NO,,,,,,BRANCH_OBSERVED_CLOUDFLARE_NORMALIZATION,https://echobuddha.com/404,
https://echobuddha.com/about/,/about/,TRUST,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/about/,https://echobuddha.com/about/,YES,About Echo Buddha | Echo Buddha,About Echo Buddha,AboutPage,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/ads.txt,/ads.txt,TECHNICAL,TECHNICAL_ENDPOINT,200,NOT_APPLICABLE,,,NO,,,,,,BRANCH_OBSERVED_BUILD_ARTIFACT,,text/plain
https://echobuddha.com/articles/,/articles/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/articles/,https://echobuddha.com/articles/,YES,Articles and Blog | Echo Buddha,Articles and Blog,Blog|ItemList|BreadcrumbList,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,YES,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,BlogPosting+Article|BreadcrumbList|FAQPage,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,/articles/buddhism-for-beginners-simple-guide/,ARTICLE,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,YES,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,BlogPosting+Article|BreadcrumbList|FAQPage,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/articles/buddhist-approach-to-anger/,/articles/buddhist-approach-to-anger/,ARTICLE,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,YES,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",BlogPosting+Article|BreadcrumbList|FAQPage,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
https://echobuddha.com/articles/buddhist-gratitude-practice/,/articles/buddhist-gratitude-practice/,ARTICLE,INDEXABLE_CANONICAL_200,200,"index, follow",https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,YES,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,BlogPosting+Article|BreadcrumbList|FAQPage,YES,YES,BRANCH_OBSERVED_BUILD_ARTIFACT,,
