URL,Health-adjacent topic,Diagnosis/treatment claim?,Guaranteed outcome?,Qualified-support boundary,Medical reviewer claimed?,Validation
https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,No,No,Present,No,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,No,No,Present,No,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,No,No,Present,No,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,No,No,Present,No,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,Yes,No,No,Present,No,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,Yes,No,No,Present,No,PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Yes,No,No,Family-level notice,No,PASS
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,Yes,No,No,Family-level notice,No,PASS
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,Yes,No,No,Family-level notice,No,PASS
https://echobuddha.com/quotes/letting-go/soften-around-stress/,Yes,No,No,Family-level notice,No,PASS
https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,Yes,No,No,Family-level notice,No,PASS
