Item,Value,Notes
captured_at,2026-08-11T04:26:01.414Z,Exact current reconciliation-start snapshot
branch,codex/reconciliation-phase-0-4-stabilization,Dedicated reconciliation branch
head_sha,a1cd457345587670133bfc58af1cafd80d038e6e,Current commit; working-tree changes are not included in this SHA
origin_main_sha,a1cd457345587670133bfc58af1cafd80d038e6e,Remote-tracking main at capture time
ahead_of_origin_main,0,Commit count only
behind_origin_main,0,Commit count only
working_tree,DIRTY,27 modified; 125 untracked files
modified_file_count,27,Preserved owner/programme work
untracked_file_count,125,Includes Phase 1–4 programme artifacts
node_version,v22.23.1,.node-version is the CI authority
npm_version,10.9.8,Local package manager
package_lock_sha256,145b46c8d15326f2c6e2d35f039aff7cc7728550985849b2e76e59f3f78d235f,Lockfile integrity at snapshot
astro_declared,^7.1.3,package.json
typescript_declared,^5.8.3,package.json
wrangler_declared,4.118.0,package.json
ci_workflow,.github/workflows/validate.yml,npm ci then npm run validate:release on pull_request and main push
generated_dist_present,Yes,Ignored build output; not a historical source of truth
phase_0_4_changes_committed,No,Post-rejection Phase 1–4 work is uncommitted at this snapshot
