URL,page_family,indexable,phase_2_value_score,protection_tier,protection_reason,clicks_3m,impressions_3m,click_share,impression_share,momentum,emerging_winner,query_ownership,backlink_status,internal_authority,canonical_state,noindex_prohibited_without_review,future_change_restriction,confidence
https://echobuddha.com/404.html,ERROR,false,NOT_APPLICABLE,SEO_UNKNOWN,no page-level Search row; unknown is not zero,0,0,0.0000%,0.0000%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,LOW,absent,false,DO_NOT_CHANGE_YET — resolve Search/canonical/history uncertainty,LOW
https://echobuddha.com/about/,ABOUT,true,NOT_APPLICABLE,SEO_P1_HIGH,19 impressions; structural/internal authority,0,19,0.0000%,0.8123%,STABLE,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,true,"NO SEO-R3/R4 CHANGE WITHOUT QUERY, BACKLINK, MAPPING, REDIRECT, AND MONITORING EVIDENCE",HIGH
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,true,58,SEO_P3_LIMITED,limited current Search evidence,0,0,0.0000%,0.0000%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Phase 4 may evaluate; user value still controls,MEDIUM
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,true,60,SEO_P3_LIMITED,4 impressions,0,4,0.0000%,0.1710%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Phase 4 may evaluate; user value still controls,HIGH
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,true,70,SEO_P2_EMERGING,5 impressions; Phase 2 value 70,0,5,0.0000%,0.2138%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Evidence and impact review required before destructive change,HIGH
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,true,69,SEO_P3_LIMITED,2 impressions,0,2,0.0000%,0.0855%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Phase 4 may evaluate; user value still controls,HIGH
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,true,69,SEO_P3_LIMITED,1 impressions,0,1,0.0000%,0.0428%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Phase 4 may evaluate; user value still controls,HIGH
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,true,63,SEO_P3_LIMITED,3 impressions,0,3,0.0000%,0.1283%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Phase 4 may evaluate; user value still controls,HIGH
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,true,66,SEO_P1_HIGH,17 impressions; structural/internal authority,0,17,0.0000%,0.7268%,DECLINING,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,true,"NO SEO-R3/R4 CHANGE WITHOUT QUERY, BACKLINK, MAPPING, REDIRECT, AND MONITORING EVIDENCE",HIGH
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,true,50,SEO_P2_EMERGING,7 impressions; structural/internal authority,0,7,0.0000%,0.2993%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Evidence and impact review required before destructive change,HIGH
https://echobuddha.com/articles/category/meditation/,ARTICLE_CATEGORY,true,49,SEO_P2_EMERGING,1 impressions; structural/internal authority,0,1,0.0000%,0.0428%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,MEDIUM,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Evidence and impact review required before destructive change,HIGH
https://echobuddha.com/articles/category/mindfulness/,ARTICLE_CATEGORY,true,49,SEO_P2_EMERGING,1 impressions; structural/internal authority,0,1,0.0000%,0.0428%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Evidence and impact review required before destructive change,HIGH
https://echobuddha.com/articles/category/practice/,ARTICLE_CATEGORY,true,50,SEO_P2_EMERGING,6 impressions; structural/internal authority,0,6,0.0000%,0.2565%,INSUFFICIENT_DATA,false,NO_SEARCH_DATA: query×page join absent,NOT_VERIFIED,HIGH,CANONICAL_SELF_CONSISTENT | CANONICAL_UNKNOWN,false,Evidence and impact review required before destructive change,HIGH
